,CDM,Description,Price,TYPE,NOTE,Hospital,Year
0,5010038,SITTER PSYCH /HR STAT ONLY,,2,STATISTICAL CHARGE,Southwest Healthcare System - Murrieta,2019
1,5010046,SITTER SAFE IP /HR STAT ONLY,,2,STATISTICAL CHARGE,Southwest Healthcare System - Murrieta,2019
2,34800227,STAT CHARGE ONLY - PER VISIT,,2,STATISTICAL CHARGE,Southwest Healthcare System - Murrieta,2019
3,38000501,COMPONENT FEM CR LT 4N,8143.0,0,,Southwest Healthcare System - Murrieta,2019
4,38000543,INSERT 1-2 9MM PS HI FLX GEN2,11297.0,0,,Southwest Healthcare System - Murrieta,2019
5,38000568,COMPONENT FEM LT 9 BCS,8496.0,0,,Southwest Healthcare System - Murrieta,2019
6,38000816,DEVICE ZIP 4 SURG SKIN CLOSURE,1144.0,0,,Southwest Healthcare System - Murrieta,2019
7,38000824,SHEATH URETER NAV HD 11/13FX36,440.0,0,,Southwest Healthcare System - Murrieta,2019
8,38000832,SHEATH URETER NAV HD 11/13FX46,440.0,0,,Southwest Healthcare System - Murrieta,2019
9,38000840,MATRIX CELL BONE 15CC VIVIGEN,18161.0,0,,Southwest Healthcare System - Murrieta,2019
10,38000899,ELECTRODE EMBLEM S-ICD 3401,15931.0,0,,Southwest Healthcare System - Murrieta,2019
11,38001038,PLATE ANKLE FUSION LATERAL TT,7347.0,0,,Southwest Healthcare System - Murrieta,2019
12,38001087,ROD LORD 5.5X35 RELINE MAS TI,858.0,0,,Southwest Healthcare System - Murrieta,2019
13,38001509,SCREW VARI S TAP 3.5X12MM,505.0,0,,Southwest Healthcare System - Murrieta,2019
14,38001822,NAIL 130D CANN TFNA 11X235MM,7642.0,0,,Southwest Healthcare System - Murrieta,2019
15,38002085,PRIMATRIX MESHED 3X3CM,2153.0,0,,Southwest Healthcare System - Murrieta,2019
16,38002093,PRIMATRIX AG MESHED 4X4CM,1987.0,0,,Southwest Healthcare System - Murrieta,2019
17,38002200,BLCOK 13X11MM PROFUSE,2714.0,0,,Southwest Healthcare System - Murrieta,2019
18,38002218,CAGE 11X25MM BATTALION PS,6936.0,0,,Southwest Healthcare System - Murrieta,2019
19,38002226,CAGE 10.25MM BATTALION PS,6936.0,0,,Southwest Healthcare System - Murrieta,2019
20,38002259,GLENOID SIZE 42 PEGGED,6242.0,0,,Southwest Healthcare System - Murrieta,2019
21,38002267,SHELL HEMI 3H CLUSTER 50MM,3219.0,0,,Southwest Healthcare System - Murrieta,2019
22,38002275,LINER ACET FMP HEAD 36MM ID,3158.0,0,,Southwest Healthcare System - Murrieta,2019
23,38002283,FEMUR NONPOROUS SIZE 5 RT,7428.0,0,,Southwest Healthcare System - Murrieta,2019
24,38002291,INSERT TIB EMPOWER 3D KNEE,3918.0,0,,Southwest Healthcare System - Murrieta,2019
25,38002309,BASEPLATE PINNED NOPOR 5 RT,3894.0,0,,Southwest Healthcare System - Murrieta,2019
