,IVNUM,IVDESC,IVREVCD,IVCPTCD,Price,Hospital,Year
0,11,OBTRYX CURVED SLING,278,,4760.0,Stanislaus Surgical Center,2019
1,50296,APPLICATION OF MULTI-LAYER COMPRESSION S,360,29582,3439.0,Stanislaus Surgical Center,2019
2,319038,SECSPINE SCOLIOSIS STUDY SUPINE AND EREC,320,72082,249.5,Stanislaus Surgical Center,2019
3,339078,US AORTA ILLIAC COMP,402,93978TC,600.0,Stanislaus Surgical Center,2019
4,500001,IV INFUSION THERAPY - 96365,260,96365,781.9,Stanislaus Surgical Center,2019
5,500002,IV INFUSION THERAPY - 96366,260,96366,158.3,Stanislaus Surgical Center,2019
6,500003,IV INFUSION THERAPY - 96367,260,96367,230.8,Stanislaus Surgical Center,2019
7,500004,SURGERY FIRST 30 MINUTES,360,,4825.0,Stanislaus Surgical Center,2019
8,500005,SURGERY SUBSEQUENT 15 MINUTES,360,,693.0,Stanislaus Surgical Center,2019
9,500006,ANESTHESIA FIRST 30 MINUTES,370,,135.0,Stanislaus Surgical Center,2019
10,500007,ANESTHESIA SUBSEQUENT 15 MINUTES,370,,67.5,Stanislaus Surgical Center,2019
11,500008,USE OF RECOVERY ROOM,710,,162.0,Stanislaus Surgical Center,2019
12,500009,PACU SUBSEQUENT 15 MINUTES,710,,81.0,Stanislaus Surgical Center,2019
13,500011,EKG,730,93005,297.0,Stanislaus Surgical Center,2019
14,500012,EXC SEBACEOUS CYST,360,10003,3439.0,Stanislaus Surgical Center,2019
15,500013,INC DRAIN SUBQ ABCESS CYST SIMPLE,360,10060,3439.0,Stanislaus Surgical Center,2019
16,500014,I&D ABSCESS COMPLICATED OR MULTIPLE,360,10061,3439.0,Stanislaus Surgical Center,2019
17,500015,INCISION AND DRAINAGE OF PILONIDAL CYST,360,10080,3439.0,Stanislaus Surgical Center,2019
18,500016,INC DRAINAGE PILONIDAL CYST COMPL,360,10081,3439.0,Stanislaus Surgical Center,2019
19,500017,INCISION & REMOVAL FOREIGN BODY,360,10120,3439.0,Stanislaus Surgical Center,2019
20,500018,REMOVAL FOREIGN BODY SUBCUTANEOUS,360,10121,3439.0,Stanislaus Surgical Center,2019
21,500019,INCISION DRAINAGE OF HEMATOMA SIMPLE,360,10140,3439.0,Stanislaus Surgical Center,2019
22,500020,PUNCTURE ASPIRATION OF ABSCESS HEMATOMA,360,10160,3439.0,Stanislaus Surgical Center,2019
23,500021,INCISION & DRAINAGE POST-OP WOUND,360,10180,3439.0,Stanislaus Surgical Center,2019
24,500022,DEBRIDE OF INFECTION BODY SURFACE,360,11000,3439.0,Stanislaus Surgical Center,2019
