,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,4353.0,4353.0,Sutter Amador Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,3348.0,3348.0,Sutter Amador Hospital,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,3590.0,3590.0,Sutter Amador Hospital,2019
3,10000008,HCHG NEWBORN BOARDER BABY,171,1817.0,1817.0,Sutter Amador Hospital,2019
4,10000009,HCHG NEWBORN LEVEL I,171,1398.0,1398.0,Sutter Amador Hospital,2019
5,10000010,HCHG NEWBORN LEVEL II,172,5176.0,5176.0,Sutter Amador Hospital,2019
6,10000011,HCHG NEWBORN LEVEL III,173,7246.0,7246.0,Sutter Amador Hospital,2019
7,10000012,HCHG NEWBORN LEVEL IV,174,8799.0,8799.0,Sutter Amador Hospital,2019
8,10000016,HCHG ROOM ICU,200,8761.0,8761.0,Sutter Amador Hospital,2019
9,10000018,HCHG ROOM ICU INTERM,206,7030.0,7030.0,Sutter Amador Hospital,2019
10,10000019,HCHG ROOM SPECIAL CARE,206,4353.0,4353.0,Sutter Amador Hospital,2019
11,10000064,HCHG ROOM LDRP,129,5352.0,5352.0,Sutter Amador Hospital,2019
12,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Amador Hospital,2019
13,10000076,HCHG ROOM HOSPICE PRIVATE,115,3821.0,3821.0,Sutter Amador Hospital,2019
14,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3821.0,3821.0,Sutter Amador Hospital,2019
15,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Amador Hospital,2019
16,10100004,HCHG OBS CPR,760,1633.0,1633.0,Sutter Amador Hospital,2019
17,10100005,HCHG OBS PER HOUR,762,150.0,150.0,Sutter Amador Hospital,2019
18,10100007,HCHG OBS DIRECT ADMIT,762,544.0,544.0,Sutter Amador Hospital,2019
19,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Sutter Amador Hospital,2019
20,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Amador Hospital,2019
21,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Amador Hospital,2019
22,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Sutter Amador Hospital,2019
23,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Sutter Amador Hospital,2019
24,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Amador Hospital,2019
25,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Amador Hospital,2019
26,10100049,HCHG OBS APPLY LONG ARM SPLINT,760,545.0,545.0,Sutter Amador Hospital,2019
27,10100051,HCHG OBS INSERT BLADDER CATH TEMPORARY INDWELLING COMP,760,445.0,445.0,Sutter Amador Hospital,2019
28,10100056,HCHG OBS PERCUTANEOUS LIVER BIOPSY,760,2996.0,2996.0,Sutter Amador Hospital,2019
29,10100057,HCHG OBS BX ENDOMETRIUM NO DIL,760,500.0,500.0,Sutter Amador Hospital,2019
30,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,2651.0,2651.0,Sutter Amador Hospital,2019
31,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Sutter Amador Hospital,2019
32,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760,2134.0,2134.0,Sutter Amador Hospital,2019
33,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760,953.0,953.0,Sutter Amador Hospital,2019
34,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760,348.0,348.0,Sutter Amador Hospital,2019
35,10100214,HCHG OBS PHLEBOTOMY THERAPUTIC,760,489.0,489.0,Sutter Amador Hospital,2019
36,10100236,HCHG OBS ASP BLADDER SP CATH,760,3941.0,3941.0,Sutter Amador Hospital,2019
37,10100239,HCHG OBS LUMBAR PUNCTURE DX,760,969.0,969.0,Sutter Amador Hospital,2019
38,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,373.0,373.0,Sutter Amador Hospital,2019
39,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,191.0,191.0,Sutter Amador Hospital,2019
40,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,312.0,312.0,Sutter Amador Hospital,2019
41,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,157.0,157.0,Sutter Amador Hospital,2019
42,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,307.0,307.0,Sutter Amador Hospital,2019
43,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,191.0,191.0,Sutter Amador Hospital,2019
44,17000106,HCHG PT DEV SCREEN SCORE&DOCUMENT STANDARD INSTRMNT,420,360.0,360.0,Sutter Amador Hospital,2019
45,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,179.0,176.0,Sutter Amador Hospital,2019
46,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,143.0,143.0,Sutter Amador Hospital,2019
47,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,121.0,121.0,Sutter Amador Hospital,2019
48,17000124,HCHG PT MANUAL THERAPY EA 15 MIN,420,162.0,162.0,Sutter Amador Hospital,2019
49,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,132.0,132.0,Sutter Amador Hospital,2019
50,17000131,HCHG PT WHEELCHAIR TRAINING EA 15 MIN,420,128.0,128.0,Sutter Amador Hospital,2019
51,17000134,HCHG PT DEBRIDEMENT SELECTIVE <=1ST 20 SQ/CM,420,541.0,541.0,Sutter Amador Hospital,2019
52,17000135,HCHG PT DEBRIDEMENT SELECTIVE EA ADDL 20 SQ/CM,420,369.0,369.0,Sutter Amador Hospital,2019
53,17000141,HCHG PT ORTHOTIC TRAINING INITIAL EA 15 MIN,420,128.0,128.0,Sutter Amador Hospital,2019
54,17000142,HCHG PT PROSTHETIC TRAINING INITIAL EA 15 MIN,420,166.0,166.0,Sutter Amador Hospital,2019
55,17000568,HCHG PT EVAL LOW COMPLEXITY,424,268.0,268.0,Sutter Amador Hospital,2019
56,17000571,HCHG PT RE-EVAL ESTABLISHED PLAN CARE,424,198.0,198.0,Sutter Amador Hospital,2019
57,17000572,HCHG OT EVAL LOW COMPLEXITY,434,296.0,296.0,Sutter Amador Hospital,2019
58,17000575,HCHG OT RE-EVAL ESTABLISHED PLAN CARE,434,234.0,234.0,Sutter Amador Hospital,2019
59,17000608,HCHG PT EVAL MOD COMPLEXITY,424,307.0,307.0,Sutter Amador Hospital,2019
60,17000609,HCHG PT EVAL HIGH COMPLEXITY,424,401.0,401.0,Sutter Amador Hospital,2019
61,17200062,HCHG OT MCAL EVALUATION INITIAL 30 MIN,430,342.0,342.0,Sutter Amador Hospital,2019
62,17200063,HCHG OT MCAL RE-EVALUATION INITIAL 30 MIN,430,287.0,287.0,Sutter Amador Hospital,2019
63,17200065,HCHG OT MCAL EVALUATION ADDITIONAL 15 MIN,430,174.0,174.0,Sutter Amador Hospital,2019
64,17200066,HCHG OT MCAL RE-EVALUATION ADDITIONAL 15 MIN,430,154.0,154.0,Sutter Amador Hospital,2019
65,17200069,HCHG OT MCAL EVALUATION PRELIMINARY 30 MIN,430,364.0,364.0,Sutter Amador Hospital,2019
66,17200074,HCHG OT APPLICATION SPLINT LONG ARM,430,467.0,467.0,Sutter Amador Hospital,2019
67,17200075,HCHG OT APPLICATION SPLINT SHORT ARM STATIC,430,435.0,435.0,Sutter Amador Hospital,2019
68,17200076,HCHG OT APPLICATION SPLINT SHORT ARM DYNAMIC,430,435.0,435.0,Sutter Amador Hospital,2019
69,17200077,HCHG OT APPLICATION SPLINT FINGER STATIC,430,425.0,425.0,Sutter Amador Hospital,2019
70,17200078,HCHG OT APPLICATION SPLINT FINGER DYNAMIC,430,396.0,396.0,Sutter Amador Hospital,2019
71,17200093,HCHG OT DEV SCREEN SCORE&DOCUMENT STANDARD INSTRMNT,430,360.0,360.0,Sutter Amador Hospital,2019
72,17200100,HCHG OT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,430,115.0,115.0,Sutter Amador Hospital,2019
73,17200103,HCHG OT ULTRASOUND EA 15 MIN,430,125.0,125.0,Sutter Amador Hospital,2019
74,17200104,HCHG OT THERAPEUTIC EXERCISE EA 15 MIN,430,176.0,176.0,Sutter Amador Hospital,2019
75,17200105,HCHG OT NEUROMUSCULAR REEDUCATION EA 15 MIN,430,143.0,143.0,Sutter Amador Hospital,2019
76,17200108,HCHG OT MANUAL THERAPY EA 15 MIN,430,162.0,162.0,Sutter Amador Hospital,2019
77,17200110,HCHG OT THERAPEUTIC ACTIVITY EA 15 MIN,430,132.0,132.0,Sutter Amador Hospital,2019
78,17200113,HCHG OT ADL TRAINING EA 15 MIN,430,138.0,138.0,Sutter Amador Hospital,2019
79,17200123,HCHG OT ORTHOTIC TRAINING INITIAL EA 15 MIN,430,114.0,114.0,Sutter Amador Hospital,2019
80,17200139,HCHG OT MCAL TX ADTL 15 MIN,430,148.0,148.0,Sutter Amador Hospital,2019
81,17200284,HCHG OT MCAL TREAT INIT 30,430,332.0,332.0,Sutter Amador Hospital,2019
82,17400006,HCHG SP MCAL THERAPY SPEECH-LANG IND 1/2 HOUR,440,297.0,297.0,Sutter Amador Hospital,2019
83,17400392,HCHG SP TX SP/LANG/COM IND,440,303.0,303.0,Sutter Amador Hospital,2019
