,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Sutter Amador Hospital,2019
1,81000000,ABIRATERONE 250MG TABS,250,1166.47,Sutter Amador Hospital,2019
2,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Sutter Amador Hospital,2019
3,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Sutter Amador Hospital,2019
4,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Sutter Amador Hospital,2019
5,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Sutter Amador Hospital,2019
6,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Sutter Amador Hospital,2019
7,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Sutter Amador Hospital,2019
8,81000000,ACETIC ACID 2% SOLN 15 ML BOTTLE,250,200.02,Sutter Amador Hospital,2019
9,81000000,ACETYLCHOLINE 20MG SOLR,250,734.7,Sutter Amador Hospital,2019
10,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,293.28,Sutter Amador Hospital,2019
11,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Sutter Amador Hospital,2019
12,81000000,ACYCLOVIR 400MG TABS,250,15.0,Sutter Amador Hospital,2019
13,81000000,ACYCLOVIR 5% OINT 5 G TUBE,250,561.5,Sutter Amador Hospital,2019
14,81000008,ACYCLOVIR 50MG/ML SOLN 20 ML VIAL,250,168.0,Sutter Amador Hospital,2019
15,81000008,ADENOSINE 6MG/2ML SOLN,636,75.0,Sutter Amador Hospital,2019
16,81000008,ALBUMIN HUMAN 25% SOLN,250,600.0,Sutter Amador Hospital,2019
17,81000000,ALBUTEROL 0.083% NEBU,250,15.0,Sutter Amador Hospital,2019
18,81000000,ALBUTEROL 0.5% NEBU,250,15.0,Sutter Amador Hospital,2019
19,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 18 G INHALER,250,332.19,Sutter Amador Hospital,2019
20,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8.5 G INHALER,250,375.0,Sutter Amador Hospital,2019
21,81000000,ALBUTEROL IN 0.9% NACL NEBU,250,19.8,Sutter Amador Hospital,2019
22,81000000,ALLOPURINOL 100MG TABS,250,15.0,Sutter Amador Hospital,2019
23,81000008,ALPHA1-PROTEINASE INHIBITOR 1000 MG/20ML SOLN,636,9150.0,Sutter Amador Hospital,2019
24,81000008,ALPHA1-PROTEINASE INHIBITOR 50MG/ML SOLN,636,9150.0,Sutter Amador Hospital,2019
25,81000000,ALPRAZOLAM 0.25MG TABS,250,40.0,Sutter Amador Hospital,2019
26,81000008,ALTEPLASE 100MG,636,14000.0,Sutter Amador Hospital,2019
27,81000008,ALTEPLASE 100MG SOLR,636,3801.76,Sutter Amador Hospital,2019
28,81000008,ALTEPLASE 2MG SOLR,250,975.0,Sutter Amador Hospital,2019
29,81000008,ALTEPLASE 50MG,636,3801.76,Sutter Amador Hospital,2019
30,81000000,ALVIMOPAN 12 MG CAPS,250,594.32,Sutter Amador Hospital,2019
31,81000000,AMANTADINE 100MG CAPS,250,15.0,Sutter Amador Hospital,2019
32,81000008,AMIODARONE 1.5MG/ML,250,270.4,Sutter Amador Hospital,2019
33,81000000,AMIODARONE 200MG TABS,250,15.0,Sutter Amador Hospital,2019
34,81000008,AMIODARONE 360MG/200ML SOLN,250,360.1,Sutter Amador Hospital,2019
35,81000008,AMIODARONE 50 MG/ML SOLN,250,75.0,Sutter Amador Hospital,2019
36,81000000,AMITRIPTYLINE 10MG TABS,250,15.0,Sutter Amador Hospital,2019
37,81000000,AMITRIPTYLINE 25MG TABS,250,15.0,Sutter Amador Hospital,2019
38,81000000,AMLODIPINE 5MG TABS,250,15.0,Sutter Amador Hospital,2019
39,81000000,AMOXICILLIN 250MG CAPS,250,15.0,Sutter Amador Hospital,2019
40,81000000,AMOXICILLIN 250MG/5ML SUSR 80 ML BOTTLE,250,34.32,Sutter Amador Hospital,2019
41,81000000,AMOXICILLIN/CLAVULANATE 250MG-62.5MG/5ML SUSR 75 ML BOTTLE,250,72.5,Sutter Amador Hospital,2019
42,81000000,AMOXICILLIN/CLAVULANATE 500MG/125MG TABS,250,20.82,Sutter Amador Hospital,2019
43,81000000,AMOXICILLIN/CLAVULANATE 600MG-42.9MG/5ML SUSR 75 ML BOTTLE,250,27.71,Sutter Amador Hospital,2019
44,81000000,AMOXICILLIN/CLAVULANATE 875MG/125MG TABS,250,27.79,Sutter Amador Hospital,2019
