,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,5544.0,5544.0,Sutter Auburn Faith Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4265.0,4265.0,Sutter Auburn Faith Hospital,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,4953.0,4953.0,Sutter Auburn Faith Hospital,2019
3,10000007,HCHG ROOM REHAB ACUTE CDC (CHEM DEP),128,4650.0,4650.0,Sutter Auburn Faith Hospital,2019
4,10000016,HCHG ROOM ICU,200,12142.0,12142.0,Sutter Auburn Faith Hospital,2019
5,10000019,HCHG ROOM SPECIAL CARE,206,5544.0,5544.0,Sutter Auburn Faith Hospital,2019
6,10000021,HCHG ROOM SNF M/S DSTNCT,121,2981.0,2981.0,Sutter Auburn Faith Hospital,2019
7,10000064,HCHG ROOM LDRP,129,5393.0,5393.0,Sutter Auburn Faith Hospital,2019
8,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Auburn Faith Hospital,2019
9,10000076,HCHG ROOM HOSPICE PRIVATE,115,3821.0,3821.0,Sutter Auburn Faith Hospital,2019
10,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3821.0,3821.0,Sutter Auburn Faith Hospital,2019
11,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Auburn Faith Hospital,2019
12,10100004,HCHG OBS CPR,760,1727.0,1727.0,Sutter Auburn Faith Hospital,2019
13,10100005,HCHG OBS PER HOUR,762,221.0,221.0,Sutter Auburn Faith Hospital,2019
14,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Auburn Faith Hospital,2019
15,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Sutter Auburn Faith Hospital,2019
16,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Auburn Faith Hospital,2019
17,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Auburn Faith Hospital,2019
18,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Sutter Auburn Faith Hospital,2019
19,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Sutter Auburn Faith Hospital,2019
20,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Auburn Faith Hospital,2019
21,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Auburn Faith Hospital,2019
22,10100049,HCHG OBS APPLY LONG ARM SPLINT,760,545.0,545.0,Sutter Auburn Faith Hospital,2019
23,10100051,HCHG OBS INSERT BLADDER CATH TEMPORARY INDWELLING COMP,760,445.0,445.0,Sutter Auburn Faith Hospital,2019
24,10100054,HCHG OBS STRAPPING SHOULDER,760,476.0,476.0,Sutter Auburn Faith Hospital,2019
25,10100059,HCHG OBS INSERT PACER TMP SNGL,760,8536.0,8536.0,Sutter Auburn Faith Hospital,2019
26,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Sutter Auburn Faith Hospital,2019
27,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760,2134.0,2134.0,Sutter Auburn Faith Hospital,2019
28,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760,1035.0,1035.0,Sutter Auburn Faith Hospital,2019
29,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760,412.0,412.0,Sutter Auburn Faith Hospital,2019
30,10100227,HCHG OBS DX NASAL ENDOSCOPY,760,450.0,450.0,Sutter Auburn Faith Hospital,2019
31,10100233,HCHG OBS DRAIN/INJ MAJOR JOINT/BURSA W/O US,760,1172.0,897.0,Sutter Auburn Faith Hospital,2019
32,10100236,HCHG OBS ASP BLADDER SP CATH,760,3941.0,3941.0,Sutter Auburn Faith Hospital,2019
33,10100239,HCHG OBS LUMBAR PUNCTURE DX,760,969.0,969.0,Sutter Auburn Faith Hospital,2019
34,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,443.0,443.0,Sutter Auburn Faith Hospital,2019
35,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,225.0,225.0,Sutter Auburn Faith Hospital,2019
36,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,369.0,369.0,Sutter Auburn Faith Hospital,2019
37,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,186.0,186.0,Sutter Auburn Faith Hospital,2019
38,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,363.0,363.0,Sutter Auburn Faith Hospital,2019
