,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000006,HCHG ROOM BEHAVIORAL HEALTH,124,1673,1673.0,Sutter Center for Psychiatry,2019
1,10000038,HCHG ROOM BEHAVIORL HEALTH PVT,114,2570,2570.0,Sutter Center for Psychiatry,2019
2,10000040,HCHG ROOM DETOX,126,2499,2499.0,Sutter Center for Psychiatry,2019
3,10000069,HCHG ROOM BEHAVIORAL HEALTH CHILD,124,1264,1264.0,Sutter Center for Psychiatry,2019
4,10000070,HCHG ROOM BEHAVIORAL HEALTH ADOLESCENT,124,1184,1184.0,Sutter Center for Psychiatry,2019
5,10000071,HCHG ROOM BEHAVIORL HEALTH PVT CHILD,114,1474,1474.0,Sutter Center for Psychiatry,2019
6,10000072,HCHG ROOM BEHAVIORL HEALTH PVT ADOLESCENT,114,1382,1382.0,Sutter Center for Psychiatry,2019
7,10000075,HCHG ROOM LOA NO CHARGE,180,1,1.0,Sutter Center for Psychiatry,2019
8,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853,1853.0,Sutter Center for Psychiatry,2019
9,10100005,HCHG OBS PER HOUR,762,276,276.0,Sutter Center for Psychiatry,2019
10,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,369,369.0,Sutter Center for Psychiatry,2019
11,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,186,186.0,Sutter Center for Psychiatry,2019
12,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,363,363.0,Sutter Center for Psychiatry,2019
13,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,210,210.0,Sutter Center for Psychiatry,2019
14,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,176,176.0,Sutter Center for Psychiatry,2019
15,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,169,169.0,Sutter Center for Psychiatry,2019
16,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,144,144.0,Sutter Center for Psychiatry,2019
17,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,155,155.0,Sutter Center for Psychiatry,2019
18,17000131,HCHG PT WHEELCHAIR TRAINING EA 15 MIN,420,123,123.0,Sutter Center for Psychiatry,2019
19,17000568,HCHG PT EVAL LOW COMPLEXITY,424,317,317.0,Sutter Center for Psychiatry,2019
20,17000571,HCHG PT RE-EVAL ESTABLISHED PLAN CARE,424,235,235.0,Sutter Center for Psychiatry,2019
21,17000572,HCHG OT EVAL LOW COMPLEXITY,434,350,350.0,Sutter Center for Psychiatry,2019
22,17000575,HCHG OT RE-EVAL ESTABLISHED PLAN CARE,434,276,276.0,Sutter Center for Psychiatry,2019
23,17200063,HCHG OT MCAL RE-EVALUATION INITIAL 30 MIN,430,340,340.0,Sutter Center for Psychiatry,2019
24,17200104,HCHG OT THERAPEUTIC EXERCISE EA 15 MIN,430,187,187.0,Sutter Center for Psychiatry,2019
25,17200105,HCHG OT NEUROMUSCULAR REEDUCATION EA 15 MIN,430,169,169.0,Sutter Center for Psychiatry,2019
26,17200108,HCHG OT MANUAL THERAPY EA 15 MIN,430,187,162.0,Sutter Center for Psychiatry,2019
27,17200110,HCHG OT THERAPEUTIC ACTIVITY EA 15 MIN,430,155,155.0,Sutter Center for Psychiatry,2019
28,17200113,HCHG OT ADL TRAINING EA 15 MIN,430,163,163.0,Sutter Center for Psychiatry,2019
29,17400400,HCHG SP EVAL FNX SWALL,444,554,554.0,Sutter Center for Psychiatry,2019
30,20500023,HCHG COMPLEX GENERAL ANESTHESIA 3 HOURS OR LESS,370,4548,4548.0,Sutter Center for Psychiatry,2019
31,21000004,HCHG DRAINAGE ABSCESS SIMPLE/SINGLE,361,710,710.0,Sutter Center for Psychiatry,2019
32,21000078,HCHG INJECTION ARTHROGRAM HIP WITH ANESTHESIA,361,1866,1866.0,Sutter Center for Psychiatry,2019
33,21000212,HCHG CENTRAL VENOUS CATHETER REPLACEMENT NON-TUNNELED,361,3724,3724.0,Sutter Center for Psychiatry,2019
34,21000225,HCHG ARTERIAL CATHETERIZATION,361,1122,1122.0,Sutter Center for Psychiatry,2019
35,30000002,HCHG XR EYE FOR FB,320,528,528.0,Sutter Center for Psychiatry,2019
36,30000007,HCHG XR FACIAL BONE LESS 3 VIEW,320,617,617.0,Sutter Center for Psychiatry,2019
37,30000008,HCHG XR FACIAL BONE 3 VIEW OR MORE,320,734,734.0,Sutter Center for Psychiatry,2019
38,30000009,HCHG XR NASAL BONES 3 VIEW OR MORE,320,664,664.0,Sutter Center for Psychiatry,2019
39,30000010,HCHG XR OPTIC FORAMINA,320,529,529.0,Sutter Center for Psychiatry,2019
40,30000011,HCHG XR ORBITS 4 VIEW OR MORE,320,586,586.0,Sutter Center for Psychiatry,2019
41,30000012,HCHG XR SINUS PARA LESS 3 VIEW,320,464,464.0,Sutter Center for Psychiatry,2019
42,30000015,HCHG XR SKULL LESS 4 VIEW,320,644,644.0,Sutter Center for Psychiatry,2019
43,30000016,HCHG XR SKULL 4 VIEW OR MORE,320,797,797.0,Sutter Center for Psychiatry,2019
44,30000041,HCHG XR RIBS BILAT 3 VIEW,320,789,789.0,Sutter Center for Psychiatry,2019
45,30000042,HCHG XR RIBS BILAT W PA CXR,320,898,898.0,Sutter Center for Psychiatry,2019
46,30000043,HCHG XR STERNUM 2 VIEW OR MORE,320,623,623.0,Sutter Center for Psychiatry,2019
47,30000044,HCHG XR STERNOCLAVIC 3 VIEW MORE,320,418,418.0,Sutter Center for Psychiatry,2019
48,30000049,HCHG XR SPINE CERVICAL 2-3 VIEWS,320,667,529.0,Sutter Center for Psychiatry,2019
49,30000050,HCHG XR SPINE CERVICAL 4 OR 5 VIEWS,320,921,716.0,Sutter Center for Psychiatry,2019
50,30000053,HCHG XR SPINE THOR 2 VIEW,320,656,500.0,Sutter Center for Psychiatry,2019
51,30000054,HCHG XR SPINE THOR 3 VIEW,320,666,572.0,Sutter Center for Psychiatry,2019
52,30000055,HCHG XR SPINE THOR 4 VIEW OR MORE,320,563,563.0,Sutter Center for Psychiatry,2019
53,30000056,HCHG XR SPINE THORACOLUMBAR JNCTN 2 VIEW,320,609,551.0,Sutter Center for Psychiatry,2019
54,30000058,HCHG XR SPINE LUMB 2 OR 3 VIEW,320,697,536.0,Sutter Center for Psychiatry,2019
55,30000059,HCHG XR SPINE LUMB 4 VIEW OR MORE,320,930,731.0,Sutter Center for Psychiatry,2019
56,30000062,HCHG XR PELVIC 1 OR 2 VIEW,320,557,436.0,Sutter Center for Psychiatry,2019
57,30000066,HCHG XR SACRUM COCCYX,320,647,647.0,Sutter Center for Psychiatry,2019
58,30000075,HCHG XR CLAVICLE BILATERAL,320,816,816.0,Sutter Center for Psychiatry,2019
59,30000076,HCHG XR CLAVICLE LT,320,544,544.0,Sutter Center for Psychiatry,2019
60,30000077,HCHG XR CLAVICLE RT,320,544,544.0,Sutter Center for Psychiatry,2019
61,30000081,HCHG XR SHOULDER 1 VIEW BIL,320,874,534.0,Sutter Center for Psychiatry,2019
62,30000082,HCHG XR SHOULDER 1 VIEW LT,320,583,356.0,Sutter Center for Psychiatry,2019
63,30000083,HCHG XR SHOULDER 1 VIEW RT,320,583,356.0,Sutter Center for Psychiatry,2019
64,30000084,HCHG XR SHOULDER 2 VIEW OR MORE BIL,320,934,696.0,Sutter Center for Psychiatry,2019
65,30000085,HCHG XR SHOULDER 2 VIEW OR MORE LT,320,623,464.0,Sutter Center for Psychiatry,2019
66,30000086,HCHG XR SHOULDER 2 VIEW OR MORE RT,320,623,464.0,Sutter Center for Psychiatry,2019
67,30000092,HCHG XR HUMERUS LT,320,665,665.0,Sutter Center for Psychiatry,2019
68,30000093,HCHG XR HUMERUS RT,320,665,665.0,Sutter Center for Psychiatry,2019
69,30000094,HCHG XR ELBOW 2 VIEW BIL,320,878,686.0,Sutter Center for Psychiatry,2019
70,30000095,HCHG XR ELBOW 2 VIEW LT,320,585,457.0,Sutter Center for Psychiatry,2019
71,30000096,HCHG XR ELBOW 2 VIEW RT,320,585,457.0,Sutter Center for Psychiatry,2019
72,30000097,HCHG XR ELBOW 3 VIEW OR MORE BIL,320,974,826.0,Sutter Center for Psychiatry,2019
73,30000098,HCHG XR ELBOW 3 VIEW OR MORE LT,320,649,551.0,Sutter Center for Psychiatry,2019
74,30000099,HCHG XR ELBOW 3 VIEW OR MORE RT,320,649,551.0,Sutter Center for Psychiatry,2019
75,30000103,HCHG XR FOREARM BIL,320,960,960.0,Sutter Center for Psychiatry,2019
76,30000104,HCHG XR FOREARM LT,320,640,640.0,Sutter Center for Psychiatry,2019
77,30000105,HCHG XR FOREARM RT,320,640,640.0,Sutter Center for Psychiatry,2019
78,30000109,HCHG XR WRIST 2 VIEW BIL,320,772,752.0,Sutter Center for Psychiatry,2019
79,30000110,HCHG XR WRIST 2 VIEW LT,320,515,501.0,Sutter Center for Psychiatry,2019
80,30000111,HCHG XR WRIST 2 VIEW RT,320,515,501.0,Sutter Center for Psychiatry,2019
81,30000112,HCHG XR WRIST 3 VIEW OR MORE BIL,320,1004,936.0,Sutter Center for Psychiatry,2019
