,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000000,ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE 600MG/50MG/300MG TABS,250,346.72,Sutter Center for Psychiatry,2019
1,81000000,ACAMPROSATE EC 333MG TBEC,250,19.33,Sutter Center for Psychiatry,2019
2,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Sutter Center for Psychiatry,2019
3,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Sutter Center for Psychiatry,2019
4,81000000,ACYCLOVIR 400MG TABS,250,15.0,Sutter Center for Psychiatry,2019
5,81000000,ALBUTEROL 0.083% NEBU,250,15.0,Sutter Center for Psychiatry,2019
6,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 18 G INHALER,250,332.19,Sutter Center for Psychiatry,2019
7,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,250,132.36,Sutter Center for Psychiatry,2019
8,81000000,ALBUTEROL IN 0.9% NACL NEBU,250,19.8,Sutter Center for Psychiatry,2019
9,81000000,ALENDRONATE 70MG TABS,250,81.65,Sutter Center for Psychiatry,2019
10,81000000,ALFENTANIL 1000MCG/2ML SOLN,250,90.0,Sutter Center for Psychiatry,2019
11,81000000,ALLOPURINOL 100MG TABS,250,15.0,Sutter Center for Psychiatry,2019
12,81000000,ALPRAZOLAM 0.25MG TABS,250,40.0,Sutter Center for Psychiatry,2019
13,81000000,ALPRAZOLAM 0.5MG TABS,250,40.0,Sutter Center for Psychiatry,2019
14,81000000,ALPRAZOLAM 1MG TABS,250,40.0,Sutter Center for Psychiatry,2019
15,81000000,AMANTADINE 100MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
16,81000000,AMILORIDE 5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
17,81000000,AMIODARONE 200MG TABS,250,15.0,Sutter Center for Psychiatry,2019
18,81000000,AMITRIPTYLINE 10MG TABS,250,15.0,Sutter Center for Psychiatry,2019
19,81000000,AMITRIPTYLINE 25MG TABS,250,15.0,Sutter Center for Psychiatry,2019
20,81000000,AMLODIPINE 10MG TABS,250,24.8,Sutter Center for Psychiatry,2019
21,81000000,AMLODIPINE 5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
22,81000000,AMOXICILLIN 500MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
23,81000000,AMOXICILLIN 875MG TABS,250,15.0,Sutter Center for Psychiatry,2019
24,81000000,AMOXICILLIN/CLAVULANATE 500MG/125MG TABS,250,20.82,Sutter Center for Psychiatry,2019
25,81000000,AMOXICILLIN/CLAVULANATE 875MG/125MG TABS,250,27.79,Sutter Center for Psychiatry,2019
26,81000000,AMPHETAMINE/DEXTROAMPHETAMINE 10MG TABS,250,40.0,Sutter Center for Psychiatry,2019
27,81000000,AMPHETAMINE/DEXTROAMPHETAMINE 24HR-XR 10MG CP24,250,40.0,Sutter Center for Psychiatry,2019
28,81000000,AMPHETAMINE/DEXTROAMPHETAMINE 24HR-XR 5MG CP24,250,45.82,Sutter Center for Psychiatry,2019
29,81000000,AMPHETAMINE/DEXTROAMPHETAMINE 5MG TABS,250,40.0,Sutter Center for Psychiatry,2019
30,81000000,AMPICILLIN 500MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
31,81000000,APIXABAN 5MG TABS,250,48.86,Sutter Center for Psychiatry,2019
32,81000000,ARIPIPRAZOLE 10MG TABS,250,100.0,Sutter Center for Psychiatry,2019
33,81000000,ARIPIPRAZOLE 15MG TABS,250,100.0,Sutter Center for Psychiatry,2019
34,81000000,ARIPIPRAZOLE 2MG TABS,250,100.0,Sutter Center for Psychiatry,2019
35,81000000,ARIPIPRAZOLE 5MG TABS,250,100.0,Sutter Center for Psychiatry,2019
36,81000008,ARIPIPRAZOLE ER 400MG PRSY,250,7799.07,Sutter Center for Psychiatry,2019
37,81000000,ASCORBIC ACID 500MG TABS,250,2.0,Sutter Center for Psychiatry,2019
38,81000000,ASENAPINE SL 10MG SUBL,250,96.06,Sutter Center for Psychiatry,2019
39,81000000,ASENAPINE SL 5MG SUBL,250,144.06,Sutter Center for Psychiatry,2019
40,81000000,ASPIRIN-APAP-CAFFEINE 250MG/250MG/65MG TABS,250,2.0,Sutter Center for Psychiatry,2019
41,81000000,ATAZANAVIR SULFATE 300MG CAPS,250,173.93,Sutter Center for Psychiatry,2019
42,81000000,ATENOLOL 25MG TABS,250,15.0,Sutter Center for Psychiatry,2019
43,81000000,ATENOLOL 50MG TABS,250,15.0,Sutter Center for Psychiatry,2019
44,81000000,ATOMOXETINE 25MG CAPS,250,63.26,Sutter Center for Psychiatry,2019
45,81000000,ATOMOXETINE 40MG CAPS,250,61.86,Sutter Center for Psychiatry,2019
46,81000000,ATOMOXETINE 60MG CAPS,250,61.84,Sutter Center for Psychiatry,2019
47,81000000,ATORVASTATIN 10MG TABS,250,15.0,Sutter Center for Psychiatry,2019
48,81000000,ATORVASTATIN 20MG TABS,250,15.0,Sutter Center for Psychiatry,2019
49,81000008,ATROPINE 0.5MG/5ML SOSY,636,75.0,Sutter Center for Psychiatry,2019
50,81000008,ATROPINE 1MG/10ML SOSY,636,75.0,Sutter Center for Psychiatry,2019
51,81000000,AZITHROMYCIN 250MG TABS,250,59.13,Sutter Center for Psychiatry,2019
52,81000008,AZITHROMYCIN 500MG/250ML SOLR,250,75.0,Sutter Center for Psychiatry,2019
53,81000000,BACITRACIN 500 UNITS/G OINT,250,2.0,Sutter Center for Psychiatry,2019
54,81000000,BACLOFEN 10MG TABS,250,15.0,Sutter Center for Psychiatry,2019
55,81000000,BECLOMETHASONE 40MCG AERB 10.6 G INHALER,250,30.0,Sutter Center for Psychiatry,2019
56,81000000,BECLOMETHASONE 40MCG AERS 8.7 G INHALER,250,625.88,Sutter Center for Psychiatry,2019
57,81000000,BENADRYL/VISCOUS LIDOCAINE/MYLANTA (1:1:1) 120 ML BOTTLE,250,232.8,Sutter Center for Psychiatry,2019
58,81000000,BENAZEPRIL 10MG TABS,250,15.0,Sutter Center for Psychiatry,2019
59,81000000,BENZOCAINE 10% GEL,250,2.0,Sutter Center for Psychiatry,2019
60,81000000,BENZOCAINE/MENTHOL 15MG/3.6MG LOZG,250,2.0,Sutter Center for Psychiatry,2019
61,81000000,BENZONATATE 100MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
62,81000000,BENZOYL PEROXIDE 10% LOTN 29.5 ML BOTTLE,250,2.0,Sutter Center for Psychiatry,2019
63,81000000,BENZOYL PEROXIDE 10% LOTN 30 ML BOTTLE,250,2.0,Sutter Center for Psychiatry,2019
64,81000000,BENZTROPINE 0.5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
65,81000000,BENZTROPINE 1MG TABS,250,15.0,Sutter Center for Psychiatry,2019
66,81000008,BENZTROPINE 1MG/ML SOLN,250,214.5,Sutter Center for Psychiatry,2019
67,81000000,BENZTROPINE 2MG TABS,250,15.0,Sutter Center for Psychiatry,2019
68,81000000,BISACODYL 10MG SUPP,250,2.0,Sutter Center for Psychiatry,2019
69,81000000,BISACODYL EC 5MG TBEC,250,2.0,Sutter Center for Psychiatry,2019
70,81000000,BREXPIPRAZOLE 2MG TABS,250,88.76,Sutter Center for Psychiatry,2019
71,81000000,BUPRENORPHINE/NALOXONE SL 2MG/0.5MG FILM,250,40.0,Sutter Center for Psychiatry,2019
72,81000000,BUPRENORPHINE/NALOXONE SL 8MG/2MG FILM,250,63.57,Sutter Center for Psychiatry,2019
73,81000000,BUPRENORPHINE/NALOXONE SL 8MG/2MG SUBL,250,54.96,Sutter Center for Psychiatry,2019
74,81000000,BUPROPION 100MG TABS,250,15.0,Sutter Center for Psychiatry,2019
75,81000000,BUPROPION 12HR-SR 100MG TB12,250,15.0,Sutter Center for Psychiatry,2019
76,81000000,BUPROPION 12HR-SR 150MG TB12,250,15.0,Sutter Center for Psychiatry,2019
77,81000000,BUPROPION 24HR-XL 150MG TB24,250,51.24,Sutter Center for Psychiatry,2019
78,81000000,BUPROPION 75MG TABS,250,15.0,Sutter Center for Psychiatry,2019
79,81000000,BUSPIRONE 10MG TABS,250,15.0,Sutter Center for Psychiatry,2019
80,81000000,BUSPIRONE 5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
81,81000000,BUTALBITAL/ACETAMINOPHEN/CAFFEINE 50MG/300MG/40MG CAPS,250,16.15,Sutter Center for Psychiatry,2019
82,81000000,CAFFEINE/SODIUM BENZOATE 250MG-250MG/2ML SOLN,250,76.57,Sutter Center for Psychiatry,2019
83,81000000,CALCIUM CARBONATE 500MG CHEW,250,2.0,Sutter Center for Psychiatry,2019
84,81000000,CALCIUM CARBONATE/VITAMIN D 500MG/200 UNITS TABS,250,2.0,Sutter Center for Psychiatry,2019
85,81000000,CAPTOPRIL 12.5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
86,81000000,CARBAMAZEPINE 200MG TABS,250,15.0,Sutter Center for Psychiatry,2019
87,81000000,CARBAMIDE PEROXIDE 6.5% SOLN 15 ML BOTTLE,250,2.0,Sutter Center for Psychiatry,2019
88,81000000,CARBIDOPA/LEVODOPA 25MG/100MG TABS,250,15.0,Sutter Center for Psychiatry,2019
89,81000000,CARIPRAZINE 1.5MG CAPS,250,288.24,Sutter Center for Psychiatry,2019
90,81000000,CARVEDILOL 25MG TABS,250,15.0,Sutter Center for Psychiatry,2019
91,81000000,CARVEDILOL 3.125MG TABS,250,15.0,Sutter Center for Psychiatry,2019
92,81000008,CEFTRIAXONE 1G SOLR 1 EACH VIAL,250,75.0,Sutter Center for Psychiatry,2019
93,81000008,CEFTRIAXONE 1G/50ML SOLN,250,75.0,Sutter Center for Psychiatry,2019
94,81000000,CELECOXIB 100MG CAPS,250,50.81,Sutter Center for Psychiatry,2019
95,81000000,CEPHALEXIN 500MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
96,81000000,CETIRIZINE 10MG TABS,250,2.0,Sutter Center for Psychiatry,2019
97,81000000,CHLORDIAZEPOXIDE 25MG CAPS,250,40.0,Sutter Center for Psychiatry,2019
98,81000000,CHLORDIAZEPOXIDE 5MG CAPS,250,40.0,Sutter Center for Psychiatry,2019
99,81000000,CHLORPROMAZINE 25MG TABS,250,42.03,Sutter Center for Psychiatry,2019
100,81000001,CHLORPROMAZINE 50MG TABS,253,48.14,Sutter Center for Psychiatry,2019
101,81000008,CHLORPROMAZINE 50MG/2MLL SOLN,250,120.58,Sutter Center for Psychiatry,2019
102,81000000,"CHOLECALCIFEROL 1,000 UNITS TABS",250,2.0,Sutter Center for Psychiatry,2019
103,81000000,CHOLECALCIFEROL 400 UNITS TABS,250,2.0,Sutter Center for Psychiatry,2019
104,81000000,CHOLESTYRAMINE 4G PACK,250,28.12,Sutter Center for Psychiatry,2019
105,81000000,CIPROFLOXACIN 0.3% SOLN 5 ML BOTTLE,250,236.55,Sutter Center for Psychiatry,2019
106,81000000,CIPROFLOXACIN 500MG TABS,250,15.0,Sutter Center for Psychiatry,2019
107,81000000,CITALOPRAM 10MG TABS,250,26.7,Sutter Center for Psychiatry,2019
108,81000000,CITALOPRAM 20MG TABS,250,15.0,Sutter Center for Psychiatry,2019
109,81000000,CLINDAMYCIN 150MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
110,81000000,CLOBETASOL 0.05% CREA 15 G TUBE,250,512.94,Sutter Center for Psychiatry,2019
111,81000000,CLOMIPRAMINE 25MG CAPS,250,55.0,Sutter Center for Psychiatry,2019
112,81000000,CLOMIPRAMINE 50MG CAPS,250,55.0,Sutter Center for Psychiatry,2019
113,81000000,CLONAZEPAM 0.5MG TABS,250,40.0,Sutter Center for Psychiatry,2019
114,81000000,CLONAZEPAM 1MG TABS,250,40.0,Sutter Center for Psychiatry,2019
115,81000000,CLONIDINE 0.1MG TABS,250,15.0,Sutter Center for Psychiatry,2019
116,81000000,CLONIDINE 0.2MG TABS,250,15.0,Sutter Center for Psychiatry,2019
117,81000000,CLONIDINE 12HR-ER 0.1MG TB12,250,55.0,Sutter Center for Psychiatry,2019
118,81000000,CLOPIDOGREL 75MG TABS,250,23.99,Sutter Center for Psychiatry,2019
119,81000000,CLOTRIMAZOLE 1% CREA 28.35 G TUBE,250,2.0,Sutter Center for Psychiatry,2019
120,81000000,CLOTRIMAZOLE 1% CREA 30 G TUBE,250,2.0,Sutter Center for Psychiatry,2019
121,81000000,CLOZAPINE 100MG TABS,250,37.71,Sutter Center for Psychiatry,2019
122,81000000,CLOZAPINE 25MG TABS,250,15.0,Sutter Center for Psychiatry,2019
123,81000000,COLCHICINE 0.6MG TABS,250,55.0,Sutter Center for Psychiatry,2019
124,81000008,"CYANOCOBALAMIN 1,000MCG/ML SOLN",636,75.0,Sutter Center for Psychiatry,2019
125,81000000,CYANOCOBALAMIN 250MCG TABS,250,2.0,Sutter Center for Psychiatry,2019
126,81000000,CYCLOBENZAPRINE 10MG TABS,250,15.0,Sutter Center for Psychiatry,2019
127,81000000,CYPROHEPTADINE 4MG TABS,250,15.0,Sutter Center for Psychiatry,2019
128,81000000,DABIGATRAN ETEXILATE 150MG CAPS,250,44.06,Sutter Center for Psychiatry,2019
129,81000000,D-ALPHA TOCOPHEROL 400 UNITS CAPS,250,2.0,Sutter Center for Psychiatry,2019
130,81000000,DESMOPRESSIN 0.1MG TABS,250,55.0,Sutter Center for Psychiatry,2019
131,81000000,DESVENLAFAXINE 24HR-ER 25MG TB24,250,95.61,Sutter Center for Psychiatry,2019
132,81000000,DESVENLAFAXINE 24HR-ER 50 MG TB24,250,55.0,Sutter Center for Psychiatry,2019
133,81000008,DEXAMETHASONE SODIUM PHOSPHATE 4MG/ML SOLN,250,75.0,Sutter Center for Psychiatry,2019
134,81000000,DEXMEDETOMIDINE 200MCG/2ML SOLN,250,655.2,Sutter Center for Psychiatry,2019
135,81000000,DEXMEDETOMIDINE 200MCG/2ML SOLN 2 ML VIAL,250,655.2,Sutter Center for Psychiatry,2019
136,81000000,DEXMETHYLPHENIDATE 10MG CP24,250,72.78,Sutter Center for Psychiatry,2019
137,81000000,DEXMETHYLPHENIDATE 5MG TABS,250,40.0,Sutter Center for Psychiatry,2019
138,81000000,DIAZEPAM 2MG TABS,250,40.0,Sutter Center for Psychiatry,2019
139,81000000,DIAZEPAM 5MG TABS,250,40.0,Sutter Center for Psychiatry,2019
140,81000000,DICYCLOMINE 10MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
141,81000000,DICYCLOMINE 20MG TABS,250,15.0,Sutter Center for Psychiatry,2019
142,81000000,DILTIAZEM 24HR-ER COATED BEADS 120MG CP24,250,15.0,Sutter Center for Psychiatry,2019
143,81000000,DILTIAZEM 24HR-ER COATED BEADS 180MG CP24,250,15.0,Sutter Center for Psychiatry,2019
144,80000003,DIPHENHYDRAMINE 12.5MG/5ML ELIX,250,2.0,Sutter Center for Psychiatry,2019
145,80000003,DIPHENHYDRAMINE 25MG CAPS,636,2.0,Sutter Center for Psychiatry,2019
146,80000003,DIPHENHYDRAMINE 50MG CAPS,250,2.0,Sutter Center for Psychiatry,2019
147,81000008,DIPHENHYDRAMINE 50MG/ML SOLN,250,75.0,Sutter Center for Psychiatry,2019
148,81000000,DIPHENHYDRAMINE/ZINC 2% CREA 28.4 G TUBE,250,2.0,Sutter Center for Psychiatry,2019
149,81000000,DIPHENHYDRAMINE/ZINC 2%/0.1% CREA 28 G TUBE,250,2.0,Sutter Center for Psychiatry,2019
150,81000000,DIPHENHYDRAMINE/ZINC 2%/0.1% CREA 28.4 G TUBE,250,2.0,Sutter Center for Psychiatry,2019
151,81000000,DISULFIRAM 250MG TABS,250,22.44,Sutter Center for Psychiatry,2019
152,81000000,DIVALPROEX 12HR-DR 125MG TBEC,250,15.0,Sutter Center for Psychiatry,2019
153,81000000,DIVALPROEX 12HR-DR 250MG TBEC,250,15.0,Sutter Center for Psychiatry,2019
154,81000000,DIVALPROEX 12HR-DR 500MG TBEC,250,17.76,Sutter Center for Psychiatry,2019
155,81000000,DIVALPROEX 24HR-ER 250MG TB24,250,15.0,Sutter Center for Psychiatry,2019
156,81000000,DIVALPROEX 24HR-ER 500MG TB24,250,21.08,Sutter Center for Psychiatry,2019
157,81000000,DIVALPROEX DR 125MG CSDR,250,15.0,Sutter Center for Psychiatry,2019
158,81000000,DOCUSATE SODIUM 100MG CAPS,250,2.0,Sutter Center for Psychiatry,2019
159,81000000,DOCUSATE SODIUM 250MG CAPS,250,2.0,Sutter Center for Psychiatry,2019
160,81000000,DOLUTEGRAVIR 50MG TABS,250,208.86,Sutter Center for Psychiatry,2019
161,81000000,DONEPEZIL 5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
162,81000000,DOXAZOSIN 1MG TABS,250,20.71,Sutter Center for Psychiatry,2019
163,81000000,DOXAZOSIN 2MG TABS,250,41.34,Sutter Center for Psychiatry,2019
164,81000000,DOXEPIN 10MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
165,81000000,DOXEPIN 25MG CAPS,250,15.0,Sutter Center for Psychiatry,2019
166,81000000,DOXYCYCLINE 100MG CAPS,250,21.99,Sutter Center for Psychiatry,2019
167,81000000,DULOXETINE 20MG CPEP,250,44.91,Sutter Center for Psychiatry,2019
168,81000000,DULOXETINE 30MG CPEP,250,55.0,Sutter Center for Psychiatry,2019
169,81000000,DULOXETINE 60MG CPEP,250,42.35,Sutter Center for Psychiatry,2019
170,81000000,EMTRICITABINE/TENOFOVIR 200/25MG TABS,250,201.1,Sutter Center for Psychiatry,2019
171,81000000,EMTRICITABINE/TENOFOVIR 200MG/300MG TABS,250,201.1,Sutter Center for Psychiatry,2019
172,81000000,ENALAPRIL 10MG TABS,250,17.82,Sutter Center for Psychiatry,2019
173,81000000,ENALAPRIL 5MG TABS,250,15.0,Sutter Center for Psychiatry,2019
174,81000008,ENOXAPARIN 100MG/ML SOLN,250,166.99,Sutter Center for Psychiatry,2019
175,81000008,ENOXAPARIN 40MG/0.4ML SOLN,250,75.0,Sutter Center for Psychiatry,2019
176,81000000,"ERGOCALCIFEROL 50,000 UNITS CAPS",250,2.0,Sutter Center for Psychiatry,2019
177,81000000,ESCITALOPRAM 10MG TABS,250,24.1,Sutter Center for Psychiatry,2019
178,81000000,ESCITALOPRAM 5MG TABS,250,45.52,Sutter Center for Psychiatry,2019
179,81000000,ESMOLOL 100MG/10ML SOLN,250,75.0,Sutter Center for Psychiatry,2019
180,81000000,ESTRADIOL 1MG TABS,250,15.0,Sutter Center for Psychiatry,2019
181,81000000,ESTROGEN CONJUGATED EQUINE 0.3MG TABS,250,37.11,Sutter Center for Psychiatry,2019
182,81000000,ETOMIDATE 2MG/ML SOLN,250,75.0,Sutter Center for Psychiatry,2019
183,81000000,EUCERIN CREA 57 G TUBE,250,2.0,Sutter Center for Psychiatry,2019
184,81000000,EZETIMIBE 10MG TABS,250,55.0,Sutter Center for Psychiatry,2019
185,81000000,FAMOTIDINE 20MG TABS,250,2.0,Sutter Center for Psychiatry,2019
186,81000000,FENOFIBRATE 145MG TABS,250,28.33,Sutter Center for Psychiatry,2019
187,81000000,FENOFIBRATE 48MG TABS,250,15.0,Sutter Center for Psychiatry,2019
188,81000000,FENTANYL 12MCG/HR PT72,250,81.2,Sutter Center for Psychiatry,2019
189,81000000,FERROUS GLUCONATE 324MG TABS,250,2.0,Sutter Center for Psychiatry,2019
190,81000000,FERROUS SULFATE EC 324MG TBEC,250,2.0,Sutter Center for Psychiatry,2019
191,81000000,FEXOFENADINE 60MG TABS,250,2.0,Sutter Center for Psychiatry,2019
192,81000084,FINASTERIDE 5MG TABS,250,17.2,Sutter Center for Psychiatry,2019
193,81000000,FLUCONAZOLE 100MG TABS,250,77.67,Sutter Center for Psychiatry,2019
