,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214.0,4353.0,4353.0,Sutter Coast Hospital,2019
1,10000001,HCHG ROOM TRAUMA TELEMETRY,214.0,4788.0,4788.0,Sutter Coast Hospital,2019
2,10000003,HCHG ROOM MED/SURG/GYN,121.0,3348.0,3348.0,Sutter Coast Hospital,2019
3,10000004,HCHG ROOM OB/MATERNAL,122.0,3590.0,3590.0,Sutter Coast Hospital,2019
4,10000005,HCHG ROOM PEDIATRIC,123.0,5195.0,5195.0,Sutter Coast Hospital,2019
5,10000007,HCHG ROOM REHAB ACUTE CDC (CHEM DEP),128.0,3379.0,3379.0,Sutter Coast Hospital,2019
6,10000008,HCHG NEWBORN BOARDER BABY,171.0,1817.0,1817.0,Sutter Coast Hospital,2019
7,10000009,HCHG NEWBORN LEVEL I,171.0,1398.0,1398.0,Sutter Coast Hospital,2019
8,10000010,HCHG NEWBORN LEVEL II,172.0,5176.0,5176.0,Sutter Coast Hospital,2019
9,10000011,HCHG NEWBORN LEVEL III,173.0,7246.0,7246.0,Sutter Coast Hospital,2019
10,10000016,HCHG ROOM ICU,200.0,8761.0,8761.0,Sutter Coast Hospital,2019
11,10000018,HCHG ROOM ICU INTERM,206.0,5023.0,5023.0,Sutter Coast Hospital,2019
12,10000019,HCHG ROOM SPECIAL CARE,206.0,4353.0,4353.0,Sutter Coast Hospital,2019
13,10000022,HCHG ROOM TRAUMA MED/SURG/GYN,121.0,3683.0,3683.0,Sutter Coast Hospital,2019
14,10000023,HCHG ROOM TRAUMA ICU,200.0,9637.0,9637.0,Sutter Coast Hospital,2019
15,10000064,HCHG ROOM LDRP,129.0,5352.0,5352.0,Sutter Coast Hospital,2019
16,10000075,HCHG ROOM LOA NO CHARGE,180.0,1.0,1.0,Sutter Coast Hospital,2019
17,10000076,HCHG ROOM HOSPICE PRIVATE,115.0,3821.0,3821.0,Sutter Coast Hospital,2019
18,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125.0,3821.0,3821.0,Sutter Coast Hospital,2019
19,10000078,HCHG ROOM REHAB ACUTE SEMI PVT,128.0,3379.0,3379.0,Sutter Coast Hospital,2019
20,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129.0,1853.0,1853.0,Sutter Coast Hospital,2019
21,10100004,HCHG OBS CPR,760.0,1633.0,1633.0,Sutter Coast Hospital,2019
22,10100005,HCHG OBS PER HOUR,762.0,150.0,150.0,Sutter Coast Hospital,2019
23,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760.0,137.0,137.0,Sutter Coast Hospital,2019
24,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760.0,252.0,252.0,Sutter Coast Hospital,2019
25,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760.0,617.0,617.0,Sutter Coast Hospital,2019
26,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760.0,2602.0,2602.0,Sutter Coast Hospital,2019
27,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760.0,109.0,109.0,Sutter Coast Hospital,2019
28,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760.0,339.0,339.0,Sutter Coast Hospital,2019
29,10100014,HCHG OBS INSERTION FOLEY CATHETER,760.0,356.0,356.0,Sutter Coast Hospital,2019
30,10100042,HCHG OBS CATHETER ASPIRATION,760.0,204.0,204.0,Sutter Coast Hospital,2019
31,10100044,HCHG OBS ARTERIAL PUNCTURE,760.0,218.0,218.0,Sutter Coast Hospital,2019
32,10100056,HCHG OBS PERCUTANEOUS LIVER BIOPSY,760.0,2996.0,2996.0,Sutter Coast Hospital,2019
33,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760.0,192.0,192.0,Sutter Coast Hospital,2019
34,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760.0,2134.0,2134.0,Sutter Coast Hospital,2019
35,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760.0,953.0,953.0,Sutter Coast Hospital,2019
36,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760.0,348.0,348.0,Sutter Coast Hospital,2019
37,10100214,HCHG OBS PHLEBOTOMY THERAPUTIC,760.0,489.0,489.0,Sutter Coast Hospital,2019
38,10100233,HCHG OBS DRAIN/INJ MAJOR JOINT/BURSA W/O US,760.0,1172.0,897.0,Sutter Coast Hospital,2019
39,10100239,HCHG OBS LUMBAR PUNCTURE DX,760.0,969.0,969.0,Sutter Coast Hospital,2019
40,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420.0,373.0,373.0,Sutter Coast Hospital,2019
41,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420.0,191.0,191.0,Sutter Coast Hospital,2019
42,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420.0,312.0,312.0,Sutter Coast Hospital,2019
43,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420.0,157.0,157.0,Sutter Coast Hospital,2019
44,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420.0,307.0,307.0,Sutter Coast Hospital,2019
45,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420.0,257.0,257.0,Sutter Coast Hospital,2019
46,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420.0,177.0,177.0,Sutter Coast Hospital,2019
47,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420.0,166.0,166.0,Sutter Coast Hospital,2019
