,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000000,A+D PREVENT OINT 113 G TUBE,250,2.0,Sutter Coast Hospital,2019
1,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Sutter Coast Hospital,2019
2,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Sutter Coast Hospital,2019
3,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Sutter Coast Hospital,2019
4,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Sutter Coast Hospital,2019
5,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Sutter Coast Hospital,2019
6,81000000,ACETAMINOPHEN/CODEINE 300MG/60MG TABS,250,40.0,Sutter Coast Hospital,2019
7,81000000,ACETAZOLAMIDE 12HR-ER 500MG CP12,250,26.92,Sutter Coast Hospital,2019
8,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Sutter Coast Hospital,2019
9,81000000,ACETYLCHOLINE 20MG SOLR,250,734.7,Sutter Coast Hospital,2019
10,81000000,ACETYLCYSTEINE 20% 30 ML VIAL,250,55.0,Sutter Coast Hospital,2019
11,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Sutter Coast Hospital,2019
12,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Sutter Coast Hospital,2019
13,81000008,ACYCLOVIR 50MG/ML SOLN 10 ML VIAL,250,75.0,Sutter Coast Hospital,2019
14,81000008,ADENOSINE 6MG/2ML SOLN,636,75.0,Sutter Coast Hospital,2019
15,81000008,AGALSIDASE BETA 35MG SOLR 1 EACH VIAL,636,21852.0,Sutter Coast Hospital,2019
16,81000008,AGALSIDASE BETA 5MG SOLR 1 EACH VIAL,636,4161.6,Sutter Coast Hospital,2019
17,81000008,ALBUMIN HUMAN 25% SOLN,250,562.5,Sutter Coast Hospital,2019
18,81000000,ALBUTEROL 0.083% NEBU,250,15.0,Sutter Coast Hospital,2019
19,81000000,ALBUTEROL 0.5% NEBU,250,15.0,Sutter Coast Hospital,2019
20,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,250,132.36,Sutter Coast Hospital,2019
21,81000000,ALBUTEROL IN 0.9% NACL NEBU,250,19.8,Sutter Coast Hospital,2019
22,81000000,ALLOPURINOL 100MG TABS,250,15.0,Sutter Coast Hospital,2019
23,81000008,ALPHA1-PROTEINASE INHIBITOR 1000 MG/20ML SOLN,636,9150.0,Sutter Coast Hospital,2019
24,81000008,ALPHA1-PROTEINASE INHIBITOR 1000 MG/20ML SOLN 1 EACH VIAL,636,9150.0,Sutter Coast Hospital,2019
25,81000008,"ALPHA1-PROTEINASE INHIBITOR 1000 MG/20ML SOLN 1,000 MG VIAL",636,9150.0,Sutter Coast Hospital,2019
26,81000008,ALPHA1-PROTEINASE INHIBITOR 50MG/ML SOLN,636,9150.0,Sutter Coast Hospital,2019
27,81000008,"ALPHA1-PROTEINASE INHIBITOR 50MG/ML SOLN 1,000 MG VIAL",636,9150.0,Sutter Coast Hospital,2019
28,81000000,ALPRAZOLAM 0.25MG TABS,250,40.0,Sutter Coast Hospital,2019
29,81000000,ALPRAZOLAM 0.5MG TABS,250,40.0,Sutter Coast Hospital,2019
30,81000008,ALTEPLASE 2MG SOLR,250,975.0,Sutter Coast Hospital,2019
31,81000008,ALTEPLASE 50MG,636,3801.76,Sutter Coast Hospital,2019
32,81000008,ALTEPLASE 50MG SOLR,250,4224.18,Sutter Coast Hospital,2019
33,81000000,AMANTADINE 100MG CAPS,250,19.16,Sutter Coast Hospital,2019
34,81000091,AMINO ACIDS 2.4%/DEXTROSE 6.8%/LIPID 3.5%/ELECTROLYTES 0.5% 2.4%/6.8%/3.5%/0.5% EMUL,258,312.0,Sutter Coast Hospital,2019
35,81000008,AMINOPHYLLINE 25MG/ML SOLN,636,75.0,Sutter Coast Hospital,2019
36,81000008,AMIODARONE 1.5MG/ML,250,270.4,Sutter Coast Hospital,2019
37,81000008,AMIODARONE 1.8MG/ML,250,360.1,Sutter Coast Hospital,2019
38,81000008,AMIODARONE 150MG/100ML SOLN,250,270.4,Sutter Coast Hospital,2019
39,81000008,AMIODARONE 150MG/3ML SOLN,250,75.0,Sutter Coast Hospital,2019
40,81000000,AMIODARONE 200MG TABS,250,18.59,Sutter Coast Hospital,2019
41,81000008,AMIODARONE 360MG/200ML SOLN,250,360.1,Sutter Coast Hospital,2019
42,81000008,AMIODARONE 50 MG/ML SOLN,250,75.0,Sutter Coast Hospital,2019
43,81000000,AMITRIPTYLINE 10MG TABS,250,15.0,Sutter Coast Hospital,2019
44,81000000,AMITRIPTYLINE 25MG TABS,250,15.0,Sutter Coast Hospital,2019
45,81000000,AMLODIPINE 5MG TABS,250,15.0,Sutter Coast Hospital,2019
46,81000000,AMMONIA INHA 10 EACH PACKAGE,250,2.0,Sutter Coast Hospital,2019
47,81000000,AMOXICILLIN 250MG CAPS,250,15.0,Sutter Coast Hospital,2019
48,81000000,AMOXICILLIN 250MG/5ML SUSR,250,15.0,Sutter Coast Hospital,2019
49,81000000,AMOXICILLIN 250MG/5ML SUSR 100 ML BOTTLE,250,15.0,Sutter Coast Hospital,2019
50,81000000,AMOXICILLIN 250MG/5ML SUSR 80 ML BOTTLE,250,34.32,Sutter Coast Hospital,2019
51,81000000,AMOXICILLIN/CLAVULANATE 250MG-62.5MG/5ML SUSR,250,47.46,Sutter Coast Hospital,2019
52,81000000,AMOXICILLIN/CLAVULANATE 250MG-62.5MG/5ML SUSR 75 ML BOTTLE,250,72.5,Sutter Coast Hospital,2019
53,81000000,AMOXICILLIN/CLAVULANATE 500MG/125MG TABS,250,20.19,Sutter Coast Hospital,2019
54,81000000,AMOXICILLIN/CLAVULANATE 875MG/125MG TABS,250,27.0,Sutter Coast Hospital,2019
55,81000008,"AMPICILLIN 1,000MG SOLR",250,75.0,Sutter Coast Hospital,2019
56,81000008,"AMPICILLIN 1,000MG SOLR 1 EACH VIAL",250,75.0,Sutter Coast Hospital,2019
57,81000008,"AMPICILLIN 1,000MG/50ML SOLN",250,75.0,Sutter Coast Hospital,2019
58,81000008,"AMPICILLIN 2,000MG SOLR",250,75.0,Sutter Coast Hospital,2019
59,81000008,"AMPICILLIN 2,000MG SOLR 1 EACH VIAL",250,75.0,Sutter Coast Hospital,2019
60,81000008,"AMPICILLIN 2,000MG/100ML",250,75.0,Sutter Coast Hospital,2019
61,81000008,AMPICILLIN/SULBACTAM 1.5G/50ML SOLN,250,75.0,Sutter Coast Hospital,2019
62,81000008,AMPICILLIN/SULBACTAM 3G SOLR,250,102.2,Sutter Coast Hospital,2019
63,81000008,AMPICILLIN/SULBACTAM 3G/100ML SOLN,250,120.5,Sutter Coast Hospital,2019
64,81000000,ARTIFICIAL TEARS 2-15-83 % OINT 3.5 G TUBE,250,2.0,Sutter Coast Hospital,2019
65,81000000,ARTIFICIAL TEARS OINT 3.5 G TUBE,250,2.0,Sutter Coast Hospital,2019
66,81000000,ASCORBIC ACID 500MG TABS,250,2.0,Sutter Coast Hospital,2019
67,81000000,ASCORBIC ACID 500MG/ML SOLN 50 ML VIAL,250,75.0,Sutter Coast Hospital,2019
68,81000000,ASPIRIN/DIPYRIDAMOLE 12HR-ER 25MG/200MG CP12,250,45.95,Sutter Coast Hospital,2019
69,81000000,ATENOLOL 25MG TABS,250,15.0,Sutter Coast Hospital,2019
70,81000008,ATEZOLIZUMAB 1200MG/20ML SOLN 20 ML VIAL,636,15984.99,Sutter Coast Hospital,2019
71,81000000,ATORVASTATIN 10MG TABS,250,15.0,Sutter Coast Hospital,2019
72,81000000,ATORVASTATIN 40MG TABS,250,15.0,Sutter Coast Hospital,2019
