,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,5544.0,5544.0,Sutter Davis Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4265.0,4265.0,Sutter Davis Hospital,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,4953.0,4953.0,Sutter Davis Hospital,2019
3,10000005,HCHG ROOM PEDIATRIC,123,7027.0,7027.0,Sutter Davis Hospital,2019
4,10000008,HCHG NEWBORN BOARDER BABY,171,2300.0,2300.0,Sutter Davis Hospital,2019
5,10000009,HCHG NEWBORN LEVEL I,171,1971.0,1971.0,Sutter Davis Hospital,2019
6,10000010,HCHG NEWBORN LEVEL II,172,10267.0,10267.0,Sutter Davis Hospital,2019
7,10000011,HCHG NEWBORN LEVEL III,173,14374.0,14374.0,Sutter Davis Hospital,2019
8,10000012,HCHG NEWBORN LEVEL IV,174,17454.0,17454.0,Sutter Davis Hospital,2019
9,10000016,HCHG ROOM ICU,200,12142.0,12142.0,Sutter Davis Hospital,2019
10,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Davis Hospital,2019
11,10000076,HCHG ROOM HOSPICE PRIVATE,115,3821.0,3821.0,Sutter Davis Hospital,2019
12,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3821.0,3821.0,Sutter Davis Hospital,2019
13,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Davis Hospital,2019
14,10100004,HCHG OBS CPR,760,1727.0,1727.0,Sutter Davis Hospital,2019
15,10100005,HCHG OBS PER HOUR,762,221.0,221.0,Sutter Davis Hospital,2019
16,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Davis Hospital,2019
17,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Sutter Davis Hospital,2019
18,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Davis Hospital,2019
19,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Davis Hospital,2019
20,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Sutter Davis Hospital,2019
21,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Sutter Davis Hospital,2019
22,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Davis Hospital,2019
23,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Davis Hospital,2019
24,10100049,HCHG OBS APPLY LONG ARM SPLINT,760,545.0,545.0,Sutter Davis Hospital,2019
25,10100051,HCHG OBS INSERT BLADDER CATH TEMPORARY INDWELLING COMP,760,445.0,445.0,Sutter Davis Hospital,2019
26,10100068,HCHG OBS TRACHEOSTOMY EMERG TRANSTRACHL,760,4991.0,4991.0,Sutter Davis Hospital,2019
27,10100071,HCHG OBS CYSTO TUBE CHNG SMPL,760,1077.0,1077.0,Sutter Davis Hospital,2019
28,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,3136.0,3136.0,Sutter Davis Hospital,2019
29,10100075,HCHG OBS INSERT PICC >=5 YR WO PORT W IMAGE GUIDANCE,760,3991.0,3991.0,Sutter Davis Hospital,2019
30,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Sutter Davis Hospital,2019
31,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760,2134.0,2134.0,Sutter Davis Hospital,2019
32,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760,1035.0,1035.0,Sutter Davis Hospital,2019
33,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760,412.0,412.0,Sutter Davis Hospital,2019
34,10100236,HCHG OBS ASP BLADDER SP CATH,760,3941.0,3941.0,Sutter Davis Hospital,2019
35,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,443.0,443.0,Sutter Davis Hospital,2019
36,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,225.0,225.0,Sutter Davis Hospital,2019
37,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,369.0,369.0,Sutter Davis Hospital,2019
38,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,186.0,186.0,Sutter Davis Hospital,2019
39,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,363.0,363.0,Sutter Davis Hospital,2019
40,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,304.0,304.0,Sutter Davis Hospital,2019
41,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,210.0,210.0,Sutter Davis Hospital,2019
42,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,197.0,197.0,Sutter Davis Hospital,2019
43,17000106,HCHG PT DEV SCREEN SCORE&DOCUMENT STANDARD INSTRMNT,420,378.0,378.0,Sutter Davis Hospital,2019
44,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,176.0,176.0,Sutter Davis Hospital,2019
45,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,169.0,169.0,Sutter Davis Hospital,2019
46,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,156.0,156.0,Sutter Davis Hospital,2019
47,17000124,HCHG PT MANUAL THERAPY EA 15 MIN,420,168.0,162.0,Sutter Davis Hospital,2019
48,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,156.0,156.0,Sutter Davis Hospital,2019
49,17000129,HCHG PT ADL TRAINING EA 15 MIN,420,163.0,163.0,Sutter Davis Hospital,2019
50,17000131,HCHG PT WHEELCHAIR TRAINING EA 15 MIN,420,159.0,159.0,Sutter Davis Hospital,2019
51,17000134,HCHG PT DEBRIDEMENT SELECTIVE <=1ST 20 SQ/CM,420,640.0,640.0,Sutter Davis Hospital,2019
52,17000135,HCHG PT DEBRIDEMENT SELECTIVE EA ADDL 20 SQ/CM,420,437.0,437.0,Sutter Davis Hospital,2019
53,17000137,HCHG PT NEGATIVE WOUND PRESSURE TX W/DME <=50 CM,420,429.0,429.0,Sutter Davis Hospital,2019
54,17000138,HCHG PT NEGATIVE WOUND PRESSURE TX W/DME >50 CM 15,420,66.0,66.0,Sutter Davis Hospital,2019
55,17000141,HCHG PT ORTHOTIC TRAINING INITIAL EA 15 MIN,420,156.0,156.0,Sutter Davis Hospital,2019
56,17000142,HCHG PT PROSTHETIC TRAINING INITIAL EA 15 MIN,420,197.0,197.0,Sutter Davis Hospital,2019
57,17000568,HCHG PT EVAL LOW COMPLEXITY,424,317.0,317.0,Sutter Davis Hospital,2019
58,17000571,HCHG PT RE-EVAL ESTABLISHED PLAN CARE,424,235.0,235.0,Sutter Davis Hospital,2019
59,17000572,HCHG OT EVAL LOW COMPLEXITY,434,350.0,350.0,Sutter Davis Hospital,2019
60,17000575,HCHG OT RE-EVAL ESTABLISHED PLAN CARE,434,276.0,276.0,Sutter Davis Hospital,2019
61,17000602,HCHG PT DEBRIDE NON-SELECT,420,378.0,378.0,Sutter Davis Hospital,2019
62,17000605,HCHG PT NEGATIVE WOUND PRESSURE TX W/DME >50 CM,420,601.0,601.0,Sutter Davis Hospital,2019
63,17000608,HCHG PT EVAL MOD COMPLEXITY,424,363.0,363.0,Sutter Davis Hospital,2019
64,17000609,HCHG PT EVAL HIGH COMPLEXITY,424,474.0,474.0,Sutter Davis Hospital,2019
65,17200063,HCHG OT MCAL RE-EVALUATION INITIAL 30 MIN,430,340.0,340.0,Sutter Davis Hospital,2019
66,17200066,HCHG OT MCAL RE-EVALUATION ADDITIONAL 15 MIN,430,182.0,182.0,Sutter Davis Hospital,2019
67,17200069,HCHG OT MCAL EVALUATION PRELIMINARY 30 MIN,430,431.0,431.0,Sutter Davis Hospital,2019
68,17200093,HCHG OT DEV SCREEN SCORE&DOCUMENT STANDARD INSTRMNT,430,378.0,378.0,Sutter Davis Hospital,2019
69,17200100,HCHG OT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,430,118.0,118.0,Sutter Davis Hospital,2019
70,17200103,HCHG OT ULTRASOUND EA 15 MIN,430,125.0,125.0,Sutter Davis Hospital,2019
71,17200104,HCHG OT THERAPEUTIC EXERCISE EA 15 MIN,430,176.0,176.0,Sutter Davis Hospital,2019
72,17200105,HCHG OT NEUROMUSCULAR REEDUCATION EA 15 MIN,430,186.0,186.0,Sutter Davis Hospital,2019
73,17200108,HCHG OT MANUAL THERAPY EA 15 MIN,430,174.0,162.0,Sutter Davis Hospital,2019
74,17200113,HCHG OT ADL TRAINING EA 15 MIN,430,174.0,174.0,Sutter Davis Hospital,2019
