,EAP,Description,Rev Code,IP Price,OP Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,5539.0,5539.0,Sutter Delta Medical Center,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4261.0,4261.0,Sutter Delta Medical Center,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,4421.0,4421.0,Sutter Delta Medical Center,2019
3,10000005,HCHG ROOM PEDIATRIC,123,7389.0,7389.0,Sutter Delta Medical Center,2019
4,10000008,HCHG NEWBORN BOARDER BABY,171,2061.0,2061.0,Sutter Delta Medical Center,2019
5,10000009,HCHG NEWBORN LEVEL I,171,1585.0,1585.0,Sutter Delta Medical Center,2019
6,10000010,HCHG NEWBORN LEVEL II,172,7053.0,7053.0,Sutter Delta Medical Center,2019
7,10000011,HCHG NEWBORN LEVEL III,173,9874.0,9874.0,Sutter Delta Medical Center,2019
8,10000012,HCHG NEWBORN LEVEL IV,174,11990.0,11990.0,Sutter Delta Medical Center,2019
9,10000016,HCHG ROOM ICU,200,10375.0,10375.0,Sutter Delta Medical Center,2019
10,10000029,HCHG ROOM MED/SURG/GYN PVT,111,4261.0,4261.0,Sutter Delta Medical Center,2019
11,10000064,HCHG ROOM LDRP,129,1.0,1.0,Sutter Delta Medical Center,2019
12,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Delta Medical Center,2019
13,10000076,HCHG ROOM HOSPICE PRIVATE,115,3746.0,3746.0,Sutter Delta Medical Center,2019
14,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3746.0,3746.0,Sutter Delta Medical Center,2019
15,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Delta Medical Center,2019
16,10100005,HCHG OBS PER HOUR,762,242.0,242.0,Sutter Delta Medical Center,2019
17,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Delta Medical Center,2019
18,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Delta Medical Center,2019
19,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Delta Medical Center,2019
20,10100041,HCHG OBS DRN ABSCESS COMP/MULT,760,1086.0,1086.0,Sutter Delta Medical Center,2019
21,10100047,HCHG OBS THORACENTESIS W/IMAG,760,2478.0,2478.0,Sutter Delta Medical Center,2019
22,10100048,HCHG OBS THORACENTESIS WO IMAG,760,2086.0,2086.0,Sutter Delta Medical Center,2019
23,10100060,HCHG OBS CNT NSL HEMOR ANT SMP,760,586.0,584.0,Sutter Delta Medical Center,2019
24,10100233,HCHG OBS DRAIN/INJ MAJOR JOINT/BURSA W/O US,760,1172.0,996.0,Sutter Delta Medical Center,2019
25,10100237,HCHG OBS PUNCTURE ASPIRATION ABSCESS/HEMATOMA/BULLA/CYST,760,825.0,825.0,Sutter Delta Medical Center,2019
26,10100242,HCHG OBS DIAGNOSTIC BONE MARROW BIOPSY,760,1358.0,1358.0,Sutter Delta Medical Center,2019
27,17000058,HCHG PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420,221.0,221.0,Sutter Delta Medical Center,2019
28,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,469.0,469.0,Sutter Delta Medical Center,2019
29,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,240.0,240.0,Sutter Delta Medical Center,2019
30,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,393.0,393.0,Sutter Delta Medical Center,2019
31,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,197.0,197.0,Sutter Delta Medical Center,2019
32,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,386.0,386.0,Sutter Delta Medical Center,2019
33,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,323.0,323.0,Sutter Delta Medical Center,2019
34,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,222.0,222.0,Sutter Delta Medical Center,2019
35,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,209.0,209.0,Sutter Delta Medical Center,2019
36,17000115,HCHG PT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,420,160.0,160.0,Sutter Delta Medical Center,2019
37,17000116,HCHG PT IONTOPHORESIS EA 15 MIN,420,141.0,141.0,Sutter Delta Medical Center,2019
38,17000117,HCHG PT CONTRAST BATHS EA 15 MIN,420,100.0,100.0,Sutter Delta Medical Center,2019
39,17000118,HCHG PT ULTRASOUND EA 15 MIN,420,128.0,125.0,Sutter Delta Medical Center,2019
40,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,189.0,176.0,Sutter Delta Medical Center,2019
41,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,202.0,202.0,Sutter Delta Medical Center,2019
42,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,189.0,189.0,Sutter Delta Medical Center,2019
43,17000124,HCHG PT MANUAL THERAPY EA 15 MIN,420,194.0,162.0,Sutter Delta Medical Center,2019
44,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,189.0,189.0,Sutter Delta Medical Center,2019
45,17000129,HCHG PT ADL TRAINING EA 15 MIN,420,189.0,189.0,Sutter Delta Medical Center,2019
46,17000130,HCHG PT COMMUNITY REINTEGRATION EA 15 MIN,420,149.0,149.0,Sutter Delta Medical Center,2019
47,17000131,HCHG PT WHEELCHAIR TRAINING EA 15 MIN,420,169.0,169.0,Sutter Delta Medical Center,2019
48,17000133,HCHG PT WORK CONDITIONING ADD 60 MIN,420,568.0,568.0,Sutter Delta Medical Center,2019
49,17000134,HCHG PT DEBRIDEMENT SELECTIVE <=1ST 20 SQ/CM,420,679.0,679.0,Sutter Delta Medical Center,2019
50,17000135,HCHG PT DEBRIDEMENT SELECTIVE EA ADDL 20 SQ/CM,420,463.0,463.0,Sutter Delta Medical Center,2019
51,17000141,HCHG PT ORTHOTIC TRAINING INITIAL EA 15 MIN,420,168.0,168.0,Sutter Delta Medical Center,2019
52,17000142,HCHG PT PROSTHETIC TRAINING INITIAL EA 15 MIN,420,189.0,189.0,Sutter Delta Medical Center,2019
53,17000292,HCHG PT MCAL SINGLE MODAL INIT 30,420,374.0,374.0,Sutter Delta Medical Center,2019
54,17000318,HCHG PT WORK COND INIT 120,420,1136.0,1136.0,Sutter Delta Medical Center,2019
55,17000568,HCHG PT EVAL LOW COMPLEXITY,424,337.0,337.0,Sutter Delta Medical Center,2019
56,17000571,HCHG PT RE-EVAL ESTABLISHED PLAN CARE,424,249.0,249.0,Sutter Delta Medical Center,2019
57,17000572,HCHG OT EVAL LOW COMPLEXITY,434,371.0,371.0,Sutter Delta Medical Center,2019
