,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,4353.0,4353.0,Sutter Lakeside Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,3348.0,3348.0,Sutter Lakeside Hospital,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,3590.0,3590.0,Sutter Lakeside Hospital,2019
3,10000005,HCHG ROOM PEDIATRIC,123,5195.0,5195.0,Sutter Lakeside Hospital,2019
4,10000009,HCHG NEWBORN LEVEL I,171,1398.0,1398.0,Sutter Lakeside Hospital,2019
5,10000016,HCHG ROOM ICU,200,8761.0,8761.0,Sutter Lakeside Hospital,2019
6,10000022,HCHG ROOM TRAUMA MED/SURG/GYN,121,3683.0,3683.0,Sutter Lakeside Hospital,2019
7,10000031,HCHG ROOM SNF M/S NONDSTNCT,121,1950.0,1950.0,Sutter Lakeside Hospital,2019
8,10000064,HCHG ROOM LDRP,129,5352.0,5352.0,Sutter Lakeside Hospital,2019
9,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Lakeside Hospital,2019
10,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Lakeside Hospital,2019
11,10100005,HCHG OBS PER HOUR,762,150.0,150.0,Sutter Lakeside Hospital,2019
12,10100007,HCHG OBS DIRECT ADMIT,762,544.0,544.0,Sutter Lakeside Hospital,2019
13,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Sutter Lakeside Hospital,2019
14,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Lakeside Hospital,2019
15,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Lakeside Hospital,2019
16,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Sutter Lakeside Hospital,2019
17,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Lakeside Hospital,2019
18,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Lakeside Hospital,2019
19,10100239,HCHG OBS LUMBAR PUNCTURE DX,760,969.0,969.0,Sutter Lakeside Hospital,2019
20,17000058,HCHG PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420,175.0,175.0,Sutter Lakeside Hospital,2019
21,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,373.0,373.0,Sutter Lakeside Hospital,2019
22,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,191.0,191.0,Sutter Lakeside Hospital,2019
23,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,312.0,312.0,Sutter Lakeside Hospital,2019
24,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,157.0,157.0,Sutter Lakeside Hospital,2019
25,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,307.0,307.0,Sutter Lakeside Hospital,2019
26,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,257.0,257.0,Sutter Lakeside Hospital,2019
27,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,177.0,177.0,Sutter Lakeside Hospital,2019
28,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,166.0,166.0,Sutter Lakeside Hospital,2019
29,17000115,HCHG PT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,420,109.0,109.0,Sutter Lakeside Hospital,2019
30,17000116,HCHG PT IONTOPHORESIS EA 15 MIN,420,112.0,112.0,Sutter Lakeside Hospital,2019
31,17000117,HCHG PT CONTRAST BATHS EA 15 MIN,420,80.0,80.0,Sutter Lakeside Hospital,2019
32,17000118,HCHG PT ULTRASOUND EA 15 MIN,420,125.0,125.0,Sutter Lakeside Hospital,2019
33,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,176.0,176.0,Sutter Lakeside Hospital,2019
34,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,138.0,138.0,Sutter Lakeside Hospital,2019
35,17000121,HCHG PT AQUATIC THERAPY EA 15 MIN,420,129.0,129.0,Sutter Lakeside Hospital,2019
36,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,129.0,129.0,Sutter Lakeside Hospital,2019
37,17000123,HCHG PT THERAPEUTIC MASSAGE EA 15 MIN,420,108.0,108.0,Sutter Lakeside Hospital,2019
38,17000124,HCHG PT MANUAL THERAPY EA 15 MIN,420,162.0,162.0,Sutter Lakeside Hospital,2019
39,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,129.0,129.0,Sutter Lakeside Hospital,2019
40,17000128,HCHG PT SENSORY INTEGRATION EA 15 MIN,420,146.0,146.0,Sutter Lakeside Hospital,2019
41,17000129,HCHG PT ADL TRAINING EA 15 MIN,420,138.0,138.0,Sutter Lakeside Hospital,2019
