,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000008,HCHG NEWBORN BOARDER BABY,171,2061.0,2061.0,Sutter Maternity & Surgery Center,2019
1,10000009,HCHG NEWBORN LEVEL I,171,1585.0,1585.0,Sutter Maternity & Surgery Center,2019
2,10000010,HCHG NEWBORN LEVEL II,172,7053.0,7053.0,Sutter Maternity & Surgery Center,2019
3,10000011,HCHG NEWBORN LEVEL III,173,9874.0,9874.0,Sutter Maternity & Surgery Center,2019
4,10000012,HCHG NEWBORN LEVEL IV,174,11990.0,11990.0,Sutter Maternity & Surgery Center,2019
5,10000029,HCHG ROOM MED/SURG/GYN PVT,111,4261.0,4261.0,Sutter Maternity & Surgery Center,2019
6,10000033,HCHG ROOM RESIDENTIAL CARE PVT,119,1512.0,1512.0,Sutter Maternity & Surgery Center,2019
7,10000036,HCHG ROOM OB/MATERNAL PVT,112,5579.0,5579.0,Sutter Maternity & Surgery Center,2019
8,10000064,HCHG ROOM LDRP,129,6974.0,6974.0,Sutter Maternity & Surgery Center,2019
9,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Maternity & Surgery Center,2019
10,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Maternity & Surgery Center,2019
11,10100005,HCHG OBS PER HOUR,762,242.0,242.0,Sutter Maternity & Surgery Center,2019
12,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Maternity & Surgery Center,2019
13,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,3330.0,3330.0,Sutter Maternity & Surgery Center,2019
14,10100075,HCHG OBS INSERT PICC >=5 YR WO PORT W IMAGE GUIDANCE,760,4238.0,4238.0,Sutter Maternity & Surgery Center,2019
15,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,469.0,469.0,Sutter Maternity & Surgery Center,2019
16,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,240.0,240.0,Sutter Maternity & Surgery Center,2019
17,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,393.0,393.0,Sutter Maternity & Surgery Center,2019
18,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,197.0,197.0,Sutter Maternity & Surgery Center,2019
19,17000064,HCHG PT MCAL AQUATIC THERAPY EXERCISE INITIAL 30 MIN,420,403.0,403.0,Sutter Maternity & Surgery Center,2019
20,17000065,HCHG PT MCAL AQUATIC THERAPEUTIC EXERCISE ADDITIONAL 15 MIN,420,203.0,203.0,Sutter Maternity & Surgery Center,2019
21,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,386.0,386.0,Sutter Maternity & Surgery Center,2019
22,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,222.0,222.0,Sutter Maternity & Surgery Center,2019
23,17000074,HCHG PT MCAL CASE CONFERENCE AND REPORT INITIAL 30 MIN,420,498.0,498.0,Sutter Maternity & Surgery Center,2019
24,17000076,HCHG PT MCAL CASE CONFERENCE AND REPORT ADDITIONAL 15 MIN,420,90.0,90.0,Sutter Maternity & Surgery Center,2019
25,17000115,HCHG PT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,420,144.0,144.0,Sutter Maternity & Surgery Center,2019
26,17000116,HCHG PT IONTOPHORESIS EA 15 MIN,420,141.0,141.0,Sutter Maternity & Surgery Center,2019
27,17000118,HCHG PT ULTRASOUND EA 15 MIN,420,128.0,125.0,Sutter Maternity & Surgery Center,2019
