,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214.0,5544.0,5544.0,Sutter Medical Center - Sacramento,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121.0,4265.0,4265.0,Sutter Medical Center - Sacramento,2019
2,10000004,HCHG ROOM OB/MATERNAL,122.0,4953.0,4953.0,Sutter Medical Center - Sacramento,2019
3,10000005,HCHG ROOM PEDIATRIC,123.0,7027.0,7027.0,Sutter Medical Center - Sacramento,2019
4,10000009,HCHG NEWBORN LEVEL I,171.0,1971.0,1971.0,Sutter Medical Center - Sacramento,2019
5,10000010,HCHG NEWBORN LEVEL II,172.0,10267.0,10267.0,Sutter Medical Center - Sacramento,2019
6,10000011,HCHG NEWBORN LEVEL III,173.0,14374.0,14374.0,Sutter Medical Center - Sacramento,2019
7,10000012,HCHG NEWBORN LEVEL IV,174.0,17454.0,17454.0,Sutter Medical Center - Sacramento,2019
8,10000013,HCHG NEWBORN ECMO,174.0,17454.0,17454.0,Sutter Medical Center - Sacramento,2019
9,10000016,HCHG ROOM ICU,200.0,12142.0,12142.0,Sutter Medical Center - Sacramento,2019
10,10000017,HCHG ROOM ICU PEDIATRICS,203.0,12142.0,12142.0,Sutter Medical Center - Sacramento,2019
11,10000018,HCHG ROOM ICU INTERM,206.0,6397.0,6397.0,Sutter Medical Center - Sacramento,2019
12,10000019,HCHG ROOM SPECIAL CARE,206.0,5544.0,5544.0,Sutter Medical Center - Sacramento,2019
13,10000021,HCHG ROOM SNF M/S DSTNCT,121.0,1030.0,1030.0,Sutter Medical Center - Sacramento,2019
14,10000026,HCHG ROOM SNF M/S DSTNCT BED HOLD,121.0,706.0,706.0,Sutter Medical Center - Sacramento,2019
15,10000030,HCHG ROOM ICU INTERM PEDIATRIC,206.0,10540.0,10540.0,Sutter Medical Center - Sacramento,2019
16,10000031,HCHG ROOM SNF M/S NONDSTNCT,121.0,706.0,706.0,Sutter Medical Center - Sacramento,2019
17,10000032,HCHG ROOM SNF M/S NONDSTNCT BED HOLD,121.0,706.0,706.0,Sutter Medical Center - Sacramento,2019
