,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,5544.0,5544.0,Sutter Roseville Medical Center,2019
1,10000001,HCHG ROOM TRAUMA TELEMETRY,214,6099.0,6099.0,Sutter Roseville Medical Center,2019
2,10000003,HCHG ROOM MED/SURG/GYN,121,4265.0,4265.0,Sutter Roseville Medical Center,2019
3,10000004,HCHG ROOM OB/MATERNAL,122,4953.0,4953.0,Sutter Roseville Medical Center,2019
4,10000005,HCHG ROOM PEDIATRIC,123,7027.0,7027.0,Sutter Roseville Medical Center,2019
5,10000007,HCHG ROOM REHAB ACUTE CDC (CHEM DEP),128,4650.0,4650.0,Sutter Roseville Medical Center,2019
6,10000008,HCHG NEWBORN BOARDER BABY,171,2300.0,2300.0,Sutter Roseville Medical Center,2019
7,10000009,HCHG NEWBORN LEVEL I,171,1971.0,1971.0,Sutter Roseville Medical Center,2019
8,10000010,HCHG NEWBORN LEVEL II,172,10267.0,10267.0,Sutter Roseville Medical Center,2019
9,10000011,HCHG NEWBORN LEVEL III,173,14374.0,14374.0,Sutter Roseville Medical Center,2019
10,10000012,HCHG NEWBORN LEVEL IV,174,17454.0,17454.0,Sutter Roseville Medical Center,2019
11,10000014,HCHG ROOM SUBACUTE VENT,71,2337.0,2337.0,Sutter Roseville Medical Center,2019
12,10000015,HCHG ROOM SUBACUTE NON VENT,72,2337.0,2337.0,Sutter Roseville Medical Center,2019
13,10000016,HCHG ROOM ICU,200,12142.0,12142.0,Sutter Roseville Medical Center,2019
14,10000019,HCHG ROOM SPECIAL CARE,206,5544.0,5544.0,Sutter Roseville Medical Center,2019
15,10000020,HCHG ROOM CCU,210,10643.0,10643.0,Sutter Roseville Medical Center,2019
16,10000022,HCHG ROOM TRAUMA MED/SURG/GYN,121,4691.0,4691.0,Sutter Roseville Medical Center,2019
17,10000023,HCHG ROOM TRAUMA ICU,200,13356.0,13356.0,Sutter Roseville Medical Center,2019
18,10000025,HCHG ROOM TRAUMA CCU,210,11708.0,11708.0,Sutter Roseville Medical Center,2019
19,10000027,HCHG ROOM SUBACUTE VENT BED HOLD,71,1386.0,1386.0,Sutter Roseville Medical Center,2019
20,10000028,HCHG ROOM SUBACUTE NON VENT BED HOLD,72,1187.0,1187.0,Sutter Roseville Medical Center,2019
21,10000042,HCHG ROOM TRAUMA PEDIATRICS,123,7729.0,7729.0,Sutter Roseville Medical Center,2019
22,10000043,HCHG ROOM TRAUMA ICU PEDIATRIC,203,6451.0,6451.0,Sutter Roseville Medical Center,2019
23,10000045,HCHG ROOM TRAUMA SPECIAL CARE,206,6099.0,6099.0,Sutter Roseville Medical Center,2019
24,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Roseville Medical Center,2019
25,10000076,HCHG ROOM HOSPICE PRIVATE,115,3821.0,3821.0,Sutter Roseville Medical Center,2019
26,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3821.0,3821.0,Sutter Roseville Medical Center,2019
27,10000078,HCHG ROOM REHAB ACUTE SEMI PVT,128,4650.0,4650.0,Sutter Roseville Medical Center,2019
28,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Roseville Medical Center,2019
29,10100004,HCHG OBS CPR,760,1727.0,1727.0,Sutter Roseville Medical Center,2019
30,10100005,HCHG OBS PER HOUR,762,221.0,221.0,Sutter Roseville Medical Center,2019
31,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Roseville Medical Center,2019
32,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Sutter Roseville Medical Center,2019
33,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Roseville Medical Center,2019
34,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Roseville Medical Center,2019
35,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Sutter Roseville Medical Center,2019
36,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Sutter Roseville Medical Center,2019
37,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Roseville Medical Center,2019
38,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Roseville Medical Center,2019
39,10100049,HCHG OBS APPLY LONG ARM SPLINT,760,545.0,545.0,Sutter Roseville Medical Center,2019
40,10100050,HCHG OBS LAC SMPL 2.5CM/LESS,760,455.0,455.0,Sutter Roseville Medical Center,2019
41,10100053,HCHG OBS LARYNGOSCOPY DX,760,454.0,454.0,Sutter Roseville Medical Center,2019
42,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,3136.0,3136.0,Sutter Roseville Medical Center,2019
43,10100075,HCHG OBS INSERT PICC >=5 YR WO PORT W IMAGE GUIDANCE,760,3991.0,3991.0,Sutter Roseville Medical Center,2019
44,10100203,HCHG OBS APPLY SHORT LEG SPLINT,760,567.0,567.0,Sutter Roseville Medical Center,2019
45,10100206,HCHG OBS PROCTOSIGMOIDOSCPY DX,760,2276.0,2276.0,Sutter Roseville Medical Center,2019
46,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Sutter Roseville Medical Center,2019
47,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760,2134.0,2134.0,Sutter Roseville Medical Center,2019
48,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760,1035.0,1035.0,Sutter Roseville Medical Center,2019
49,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760,412.0,412.0,Sutter Roseville Medical Center,2019
50,10100228,HCHG OBS CLOSED TX OF BIMALLEOLAR ANKLE FX W/MANIP,760,491.0,491.0,Sutter Roseville Medical Center,2019
51,10100233,HCHG OBS DRAIN/INJ MAJOR JOINT/BURSA W/O US,760,1172.0,897.0,Sutter Roseville Medical Center,2019
52,10100236,HCHG OBS ASP BLADDER SP CATH,760,3941.0,3941.0,Sutter Roseville Medical Center,2019
53,10100239,HCHG OBS LUMBAR PUNCTURE DX,760,969.0,969.0,Sutter Roseville Medical Center,2019
54,17000058,HCHG PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420,208.0,208.0,Sutter Roseville Medical Center,2019
55,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,443.0,443.0,Sutter Roseville Medical Center,2019
56,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,225.0,225.0,Sutter Roseville Medical Center,2019
57,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,369.0,369.0,Sutter Roseville Medical Center,2019
58,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,186.0,186.0,Sutter Roseville Medical Center,2019
59,17000064,HCHG PT MCAL AQUATIC THERAPY EXERCISE INITIAL 30 MIN,420,379.0,379.0,Sutter Roseville Medical Center,2019
60,17000065,HCHG PT MCAL AQUATIC THERAPEUTIC EXERCISE ADDITIONAL 15 MIN,420,191.0,191.0,Sutter Roseville Medical Center,2019
61,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,363.0,363.0,Sutter Roseville Medical Center,2019
62,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,318.0,318.0,Sutter Roseville Medical Center,2019
63,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,210.0,210.0,Sutter Roseville Medical Center,2019
64,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,197.0,197.0,Sutter Roseville Medical Center,2019
65,17000097,HCHG PT UNNA BOOT,420,494.0,494.0,Sutter Roseville Medical Center,2019
66,17000106,HCHG PT DEV SCREEN SCORE&DOCUMENT STANDARD INSTRMNT,420,378.0,378.0,Sutter Roseville Medical Center,2019
