,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000008,17-HYDROXYPROGESTERONE 250MG/ML OIL,250,3312.0,Sutter Roseville Medical Center,2019
1,81000000,ABACAVIR/LAMIVUDINE 600MG/300MG TABS,250,155.0,Sutter Roseville Medical Center,2019
2,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Sutter Roseville Medical Center,2019
3,81000000,ACARBOSE 50MG TABS,250,15.0,Sutter Roseville Medical Center,2019
4,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Sutter Roseville Medical Center,2019
5,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Sutter Roseville Medical Center,2019
6,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML,250,40.0,Sutter Roseville Medical Center,2019
7,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Sutter Roseville Medical Center,2019
8,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Sutter Roseville Medical Center,2019
9,81000000,ACETAMINOPHEN/CODEINE 300MG/60MG TABS,250,40.0,Sutter Roseville Medical Center,2019
10,81000000,ACETAZOLAMIDE 12HR-ER 500MG CP12,250,26.92,Sutter Roseville Medical Center,2019
11,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Sutter Roseville Medical Center,2019
12,81000000,ACETAZOLAMIDE 25MG/ML SOLN,250,15.0,Sutter Roseville Medical Center,2019
13,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Sutter Roseville Medical Center,2019
14,81000008,ACETAZOLAMIDE 500MG SOLR 1 EACH VIAL,250,174.3,Sutter Roseville Medical Center,2019
15,81000000,ACETIC ACID 0.25% SOLN,250,75.0,Sutter Roseville Medical Center,2019
16,81000000,ACETYLCYSTEINE 20%,250,55.0,Sutter Roseville Medical Center,2019
17,81000000,ACETYLCYSTEINE 20% 30 ML VIAL,250,100.0,Sutter Roseville Medical Center,2019
18,81000000,ACETYLCYSTEINE 20% 4 ML VIAL,250,55.0,Sutter Roseville Medical Center,2019
19,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Sutter Roseville Medical Center,2019
20,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,1384.6,Sutter Roseville Medical Center,2019
21,81000000,ACETYLCYSTEINE 600MG CAPS,250,2.0,Sutter Roseville Medical Center,2019
22,81000000,ACID CITRATE DEXTROSE 0.73-2.45-2.2 GM/100ML SOLN,250,115.5,Sutter Roseville Medical Center,2019
