,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214.0,5539.0,5539.0,Sutter Santa Rosa Memorial Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121.0,4261.0,4261.0,Sutter Santa Rosa Memorial Hospital,2019
2,10000004,HCHG ROOM OB/MATERNAL,122.0,4421.0,4421.0,Sutter Santa Rosa Memorial Hospital,2019
3,10000005,HCHG ROOM PEDIATRIC,123.0,7389.0,7389.0,Sutter Santa Rosa Memorial Hospital,2019
4,10000009,HCHG NEWBORN LEVEL I,171.0,1585.0,1585.0,Sutter Santa Rosa Memorial Hospital,2019
5,10000010,HCHG NEWBORN LEVEL II,172.0,7053.0,7053.0,Sutter Santa Rosa Memorial Hospital,2019
6,10000011,HCHG NEWBORN LEVEL III,173.0,9874.0,9874.0,Sutter Santa Rosa Memorial Hospital,2019
7,10000012,HCHG NEWBORN LEVEL IV,174.0,11990.0,11990.0,Sutter Santa Rosa Memorial Hospital,2019
8,10000016,HCHG ROOM ICU,200.0,10375.0,10375.0,Sutter Santa Rosa Memorial Hospital,2019
9,10000017,HCHG ROOM ICU PEDIATRICS,203.0,10375.0,10375.0,Sutter Santa Rosa Memorial Hospital,2019
10,10000019,HCHG ROOM SPECIAL CARE,206.0,5539.0,5539.0,Sutter Santa Rosa Memorial Hospital,2019
11,10000029,HCHG ROOM MED/SURG/GYN PVT,111.0,4261.0,4261.0,Sutter Santa Rosa Memorial Hospital,2019
12,10000037,HCHG ROOM PEDIATRIC PVT,113.0,6314.0,6314.0,Sutter Santa Rosa Memorial Hospital,2019
13,10000075,HCHG ROOM LOA NO CHARGE,180.0,1.0,1.0,Sutter Santa Rosa Memorial Hospital,2019
14,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129.0,1853.0,1853.0,Sutter Santa Rosa Memorial Hospital,2019
15,10100004,HCHG OBS CPR,760.0,1727.0,1727.0,Sutter Santa Rosa Memorial Hospital,2019
16,10100005,HCHG OBS PER HOUR,762.0,242.0,242.0,Sutter Santa Rosa Memorial Hospital,2019
17,10100007,HCHG OBS DIRECT ADMIT,762.0,557.0,557.0,Sutter Santa Rosa Memorial Hospital,2019
18,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760.0,252.0,252.0,Sutter Santa Rosa Memorial Hospital,2019
19,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760.0,617.0,617.0,Sutter Santa Rosa Memorial Hospital,2019
20,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760.0,2602.0,2602.0,Sutter Santa Rosa Memorial Hospital,2019
21,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760.0,109.0,109.0,Sutter Santa Rosa Memorial Hospital,2019
22,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760.0,339.0,339.0,Sutter Santa Rosa Memorial Hospital,2019
23,10100014,HCHG OBS INSERTION FOLEY CATHETER,760.0,356.0,356.0,Sutter Santa Rosa Memorial Hospital,2019
24,10100239,HCHG OBS LUMBAR PUNCTURE DX,760.0,969.0,969.0,Sutter Santa Rosa Memorial Hospital,2019
25,17000058,HCHG PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420.0,221.0,221.0,Sutter Santa Rosa Memorial Hospital,2019
26,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420.0,469.0,469.0,Sutter Santa Rosa Memorial Hospital,2019
27,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420.0,240.0,240.0,Sutter Santa Rosa Memorial Hospital,2019
28,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420.0,393.0,393.0,Sutter Santa Rosa Memorial Hospital,2019
29,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420.0,197.0,197.0,Sutter Santa Rosa Memorial Hospital,2019
30,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420.0,386.0,386.0,Sutter Santa Rosa Memorial Hospital,2019
31,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420.0,323.0,323.0,Sutter Santa Rosa Memorial Hospital,2019
