,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Sutter Santa Rosa Memorial Hospital,2019
1,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Sutter Santa Rosa Memorial Hospital,2019
2,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Sutter Santa Rosa Memorial Hospital,2019
3,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Sutter Santa Rosa Memorial Hospital,2019
4,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Sutter Santa Rosa Memorial Hospital,2019
5,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Sutter Santa Rosa Memorial Hospital,2019
6,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Sutter Santa Rosa Memorial Hospital,2019
7,81000000,ACETYLCYSTEINE 20% 30 ML VIAL,250,55.0,Sutter Santa Rosa Memorial Hospital,2019
8,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Sutter Santa Rosa Memorial Hospital,2019
9,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,1384.6,Sutter Santa Rosa Memorial Hospital,2019
10,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Sutter Santa Rosa Memorial Hospital,2019
11,81000000,ACYCLOVIR 200MG/5ML SUSP,250,51.76,Sutter Santa Rosa Memorial Hospital,2019
12,80000001,ACYCLOVIR 5% OINT 30 G TUBE,250,2304.0,Sutter Santa Rosa Memorial Hospital,2019
13,81000008,ACYCLOVIR 50MG/ML SOLN 10 ML VIAL,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
14,81000008,ACYCLOVIR 50MG/ML SOLN 20 ML VIAL,250,168.0,Sutter Santa Rosa Memorial Hospital,2019
15,81000000,ACYCLOVIR 800MG TABS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
16,81000009,ADALIMUMAB 40MG/0.8ML PSKT,250,9313.36,Sutter Santa Rosa Memorial Hospital,2019
17,81000008,ADENOSINE 6MG/2ML SOLN,636,75.0,Sutter Santa Rosa Memorial Hospital,2019
18,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN,636,1306.5,Sutter Santa Rosa Memorial Hospital,2019
19,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN 20 ML VIAL,636,1306.5,Sutter Santa Rosa Memorial Hospital,2019
20,81000008,ALBUMIN HUMAN 25% SOLN,250,900.0,Sutter Santa Rosa Memorial Hospital,2019
21,81000008,ALBUMIN HUMAN 5% SOLN,250,540.0,Sutter Santa Rosa Memorial Hospital,2019
22,81000000,ALBUTEROL 0.083% NEBU,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
23,81000000,ALBUTEROL 0.083% NEBU 3 ML PLAS CONT,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
24,81000000,ALBUTEROL 0.5% NEBU,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
25,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 18 G INHALER,250,332.19,Sutter Santa Rosa Memorial Hospital,2019
26,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 6.7 G INHALER,250,382.73,Sutter Santa Rosa Memorial Hospital,2019
27,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,250,132.36,Sutter Santa Rosa Memorial Hospital,2019
28,81000000,ALBUTEROL IN 0.9% NACL NEBU,250,19.8,Sutter Santa Rosa Memorial Hospital,2019
29,81000000,ALBUTEROL IN 0.9% NACL NEBU 20 ML BOTTLE,250,83.44,Sutter Santa Rosa Memorial Hospital,2019
30,81000000,ALCOHOL 98% SOLN,250,94.0,Sutter Santa Rosa Memorial Hospital,2019
31,81000000,ALLOPURINOL 100MG TABS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
32,81000000,ALPRAZOLAM 0.25MG TABS,250,40.0,Sutter Santa Rosa Memorial Hospital,2019
33,81000000,ALPRAZOLAM 0.5MG TABS,250,40.0,Sutter Santa Rosa Memorial Hospital,2019
34,81000008,ALTEPLASE 100MG,636,14000.0,Sutter Santa Rosa Memorial Hospital,2019
35,81000008,ALTEPLASE 100MG SOLR,636,3801.76,Sutter Santa Rosa Memorial Hospital,2019
36,81000008,ALTEPLASE 100MG SOLR 1 EACH VIAL,636,3801.76,Sutter Santa Rosa Memorial Hospital,2019
37,81000008,ALTEPLASE 2MG SOLR,250,975.0,Sutter Santa Rosa Memorial Hospital,2019
38,81000008,ALTEPLASE 2MG SOLR 1 EACH VIAL,250,975.0,Sutter Santa Rosa Memorial Hospital,2019
39,81000008,ALTEPLASE 50MG,636,3801.76,Sutter Santa Rosa Memorial Hospital,2019
40,81000008,AMIKACIN 500 MG/2ML SOLN 2 ML VIAL,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
41,81000000,AMILORIDE 5MG TABS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
42,82000000,AMINO ACIDS 4.25%/DEXTROSE 10%/ELECTROLYTES (CLINIMIX E) 4.25%/10% SOLN,258,325.0,Sutter Santa Rosa Memorial Hospital,2019
43,80000001,AMINOCAPROIC ACID 250MG/ML SOLN,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
44,80000001,AMINOCAPROIC ACID 250MG/ML SOLN 20 ML VIAL,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
45,81000008,AMINOPHYLLINE 25MG/ML SOLN,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
46,81000008,AMIODARONE 1.5MG/ML,250,270.4,Sutter Santa Rosa Memorial Hospital,2019
47,81000008,AMIODARONE 1.8MG/ML,250,360.1,Sutter Santa Rosa Memorial Hospital,2019
48,81000008,AMIODARONE 150MG/100ML SOLN,250,270.4,Sutter Santa Rosa Memorial Hospital,2019
49,81000008,AMIODARONE 150MG/3ML SOLN,250,210.0,Sutter Santa Rosa Memorial Hospital,2019
50,81000000,AMIODARONE 200MG TABS,250,18.59,Sutter Santa Rosa Memorial Hospital,2019
51,81000008,AMIODARONE 360MG/200ML SOLN,250,360.1,Sutter Santa Rosa Memorial Hospital,2019
52,81000008,AMIODARONE 50 MG/ML SOLN,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
53,81000008,AMIODARONE 50 MG/ML SOLN 18 ML VIAL,250,105.84,Sutter Santa Rosa Memorial Hospital,2019
54,81000008,AMIODARONE 50 MG/ML SOLN 3 ML VIAL,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
55,81000000,AMITRIPTYLINE 10MG TABS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
56,81000000,AMITRIPTYLINE 25MG TABS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
57,81000000,AMLODIPINE 5MG TABS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
58,81000000,AMMONIA INHA 10 EACH PACKAGE,250,2.0,Sutter Santa Rosa Memorial Hospital,2019
59,81000000,AMOXICILLIN 250MG/5ML SUSR,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
60,81000000,AMOXICILLIN 250MG/5ML SUSR 80 ML BOTTLE,250,34.32,Sutter Santa Rosa Memorial Hospital,2019
61,81000000,AMOXICILLIN 500MG CAPS,250,15.0,Sutter Santa Rosa Memorial Hospital,2019
62,81000000,AMOXICILLIN/CLAVULANATE 250MG-62.5MG/5ML SUSR,250,56.1,Sutter Santa Rosa Memorial Hospital,2019
63,81000000,AMOXICILLIN/CLAVULANATE 500MG/125MG TABS,250,20.82,Sutter Santa Rosa Memorial Hospital,2019
64,81000000,AMOXICILLIN/CLAVULANATE 875MG/125MG TABS,250,27.79,Sutter Santa Rosa Memorial Hospital,2019
65,81000008,"AMPICILLIN 1,000MG SOLR",250,75.0,Sutter Santa Rosa Memorial Hospital,2019
66,81000008,"AMPICILLIN 1,000MG SOLR 1 EACH VIAL",250,75.0,Sutter Santa Rosa Memorial Hospital,2019
67,81000008,"AMPICILLIN 1,000MG/50ML SOLN",250,75.0,Sutter Santa Rosa Memorial Hospital,2019
68,81000008,"AMPICILLIN 2,000MG SOLR",250,75.0,Sutter Santa Rosa Memorial Hospital,2019
69,81000008,"AMPICILLIN 2,000MG/100ML",250,117.25,Sutter Santa Rosa Memorial Hospital,2019
70,81000008,AMPICILLIN 250MG INJ,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
71,81000008,AMPICILLIN 250MG SOLR,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
72,81000008,AMPICILLIN 500MG INJ,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
73,81000008,AMPICILLIN 500MG SOLR,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
74,81000008,AMPICILLIN 500MG SOLR 1 EACH VIAL,250,81.42,Sutter Santa Rosa Memorial Hospital,2019
75,81000008,AMPICILLIN/SULBACTAM 1.5G,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
76,81000008,AMPICILLIN/SULBACTAM 1.5G SOLR,250,75.0,Sutter Santa Rosa Memorial Hospital,2019
77,81000008,AMPICILLIN/SULBACTAM 1.5G SOLR 1 EACH VIAL,250,108.29,Sutter Santa Rosa Memorial Hospital,2019
