,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,6494.0,6494.0,Sutter Solano Medical Center,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4995.0,4995.0,Sutter Solano Medical Center,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,6124.0,6124.0,Sutter Solano Medical Center,2019
3,10000005,HCHG ROOM PEDIATRIC,123,7774.0,7774.0,Sutter Solano Medical Center,2019
4,10000008,HCHG NEWBORN BOARDER BABY,171,2577.0,2577.0,Sutter Solano Medical Center,2019
5,10000009,HCHG NEWBORN LEVEL I,171,1982.0,1982.0,Sutter Solano Medical Center,2019
6,10000010,HCHG NEWBORN LEVEL II,172,8329.0,8329.0,Sutter Solano Medical Center,2019
7,10000011,HCHG NEWBORN LEVEL III,173,11661.0,11661.0,Sutter Solano Medical Center,2019
8,10000015,HCHG ROOM SUBACUTE NON VENT,72,2716.0,2716.0,Sutter Solano Medical Center,2019
9,10000016,HCHG ROOM ICU,200,12307.0,12307.0,Sutter Solano Medical Center,2019
10,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Solano Medical Center,2019
11,10000076,HCHG ROOM HOSPICE PRIVATE,115,3746.0,3746.0,Sutter Solano Medical Center,2019
12,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3746.0,3746.0,Sutter Solano Medical Center,2019
13,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Solano Medical Center,2019
14,10100004,HCHG OBS CPR,760,1727.0,1727.0,Sutter Solano Medical Center,2019
15,10100005,HCHG OBS PER HOUR,762,302.0,302.0,Sutter Solano Medical Center,2019
16,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Solano Medical Center,2019
17,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Sutter Solano Medical Center,2019
18,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Solano Medical Center,2019
19,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Solano Medical Center,2019
20,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Sutter Solano Medical Center,2019
21,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Sutter Solano Medical Center,2019
22,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Solano Medical Center,2019
23,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Solano Medical Center,2019
24,10100046,HCHG OBS CL TX VT FX WO MANIP,760,151.0,151.0,Sutter Solano Medical Center,2019
25,10100049,HCHG OBS APPLY LONG ARM SPLINT,760,545.0,545.0,Sutter Solano Medical Center,2019
26,10100202,HCHG OBS APPLY LONG LEG SPLINT,760,526.0,526.0,Sutter Solano Medical Center,2019
27,10100204,HCHG OBS APP SPLINT SHRT ARM ST,760,504.0,504.0,Sutter Solano Medical Center,2019
28,10100205,HCHG OBS DRN ABSCESS SMPL/SNGL,760,710.0,710.0,Sutter Solano Medical Center,2019
29,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Sutter Solano Medical Center,2019
30,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760,2134.0,2134.0,Sutter Solano Medical Center,2019
31,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760,1035.0,1035.0,Sutter Solano Medical Center,2019
32,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760,429.0,429.0,Sutter Solano Medical Center,2019
33,10100233,HCHG OBS DRAIN/INJ MAJOR JOINT/BURSA W/O US,760,1172.0,996.0,Sutter Solano Medical Center,2019
34,10100236,HCHG OBS ASP BLADDER SP CATH,760,3941.0,3941.0,Sutter Solano Medical Center,2019
35,17000058,HCHG PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420,221.0,221.0,Sutter Solano Medical Center,2019
36,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,469.0,469.0,Sutter Solano Medical Center,2019
37,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,240.0,240.0,Sutter Solano Medical Center,2019
38,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,418.0,418.0,Sutter Solano Medical Center,2019
39,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,209.0,209.0,Sutter Solano Medical Center,2019
40,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,386.0,386.0,Sutter Solano Medical Center,2019
41,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,323.0,323.0,Sutter Solano Medical Center,2019
42,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,225.0,225.0,Sutter Solano Medical Center,2019
43,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,209.0,209.0,Sutter Solano Medical Center,2019
