,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,4947.0,4947.0,Sutter Tracy Community Memorial Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,3805.0,3805.0,Sutter Tracy Community Memorial Hospital,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,3907.0,3907.0,Sutter Tracy Community Memorial Hospital,2019
3,10000005,HCHG ROOM PEDIATRIC,123,5818.0,5818.0,Sutter Tracy Community Memorial Hospital,2019
4,10000008,HCHG NEWBORN BOARDER BABY,171,1964.0,1964.0,Sutter Tracy Community Memorial Hospital,2019
5,10000009,HCHG NEWBORN LEVEL I,171,1511.0,1511.0,Sutter Tracy Community Memorial Hospital,2019
6,10000010,HCHG NEWBORN LEVEL II,172,5858.0,5858.0,Sutter Tracy Community Memorial Hospital,2019
7,10000011,HCHG NEWBORN LEVEL III,173,8201.0,8201.0,Sutter Tracy Community Memorial Hospital,2019
8,10000012,HCHG NEWBORN LEVEL IV,174,9959.0,9959.0,Sutter Tracy Community Memorial Hospital,2019
9,10000016,HCHG ROOM ICU,200,11091.0,11091.0,Sutter Tracy Community Memorial Hospital,2019
10,10000064,HCHG ROOM LDRP,129,7763.0,7763.0,Sutter Tracy Community Memorial Hospital,2019
11,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Sutter Tracy Community Memorial Hospital,2019
12,10000076,HCHG ROOM HOSPICE PRIVATE,115,3821.0,3821.0,Sutter Tracy Community Memorial Hospital,2019
13,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3821.0,3821.0,Sutter Tracy Community Memorial Hospital,2019
14,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Sutter Tracy Community Memorial Hospital,2019
15,10100004,HCHG OBS CPR,760,1727.0,1727.0,Sutter Tracy Community Memorial Hospital,2019
16,10100005,HCHG OBS PER HOUR,762,305.0,305.0,Sutter Tracy Community Memorial Hospital,2019
17,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Sutter Tracy Community Memorial Hospital,2019
18,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Sutter Tracy Community Memorial Hospital,2019
19,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Sutter Tracy Community Memorial Hospital,2019
20,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Sutter Tracy Community Memorial Hospital,2019
21,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Sutter Tracy Community Memorial Hospital,2019
22,10100053,HCHG OBS LARYNGOSCOPY DX,760,454.0,454.0,Sutter Tracy Community Memorial Hospital,2019
23,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,3136.0,3136.0,Sutter Tracy Community Memorial Hospital,2019
24,10100075,HCHG OBS INSERT PICC >=5 YR WO PORT W IMAGE GUIDANCE,760,3991.0,3991.0,Sutter Tracy Community Memorial Hospital,2019
25,10100080,HCHG OBS PUNCH BX SKIN SINGLE LESION,760,1008.0,1008.0,Sutter Tracy Community Memorial Hospital,2019
26,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Sutter Tracy Community Memorial Hospital,2019
27,10100209,HCHG OBS CARDIOVERSION ELECTRIC EXTERNAL,760,2134.0,2134.0,Sutter Tracy Community Memorial Hospital,2019
28,10100212,HCHG OBS INFUSN CHEMO 0-60 MN,760,1035.0,1035.0,Sutter Tracy Community Memorial Hospital,2019
29,10100213,HCHG OBS INFUSN CHEM EA ADD HR,760,412.0,412.0,Sutter Tracy Community Memorial Hospital,2019
30,10100214,HCHG OBS PHLEBOTOMY THERAPUTIC,760,504.0,504.0,Sutter Tracy Community Memorial Hospital,2019
31,10100233,HCHG OBS DRAIN/INJ MAJOR JOINT/BURSA W/O US,760,1172.0,897.0,Sutter Tracy Community Memorial Hospital,2019
32,17000058,HCHG PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420,231.0,231.0,Sutter Tracy Community Memorial Hospital,2019
33,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,488.0,488.0,Sutter Tracy Community Memorial Hospital,2019
34,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,248.0,248.0,Sutter Tracy Community Memorial Hospital,2019
35,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,409.0,409.0,Sutter Tracy Community Memorial Hospital,2019
36,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,204.0,204.0,Sutter Tracy Community Memorial Hospital,2019
37,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,363.0,363.0,Sutter Tracy Community Memorial Hospital,2019
38,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,304.0,304.0,Sutter Tracy Community Memorial Hospital,2019
39,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,224.0,224.0,Sutter Tracy Community Memorial Hospital,2019
40,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,204.0,204.0,Sutter Tracy Community Memorial Hospital,2019
41,17000088,HCHG PT APPLICATION SPLINT SHORT ARM STATIC,420,541.0,541.0,Sutter Tracy Community Memorial Hospital,2019
42,17000092,HCHG PT STRAP LOW BACK,420,84.0,84.0,Sutter Tracy Community Memorial Hospital,2019
43,17000093,HCHG PT STRAP SHOULDER,420,471.0,471.0,Sutter Tracy Community Memorial Hospital,2019
44,17000094,HCHG PT STRAP HIP,420,98.0,98.0,Sutter Tracy Community Memorial Hospital,2019
45,17000095,HCHG PT STRAP KNEE,420,431.0,431.0,Sutter Tracy Community Memorial Hospital,2019
46,17000096,HCHG PT STRAP ANKLE/FOOT,420,317.0,317.0,Sutter Tracy Community Memorial Hospital,2019
47,17000115,HCHG PT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,420,129.0,129.0,Sutter Tracy Community Memorial Hospital,2019
48,17000116,HCHG PT IONTOPHORESIS EA 15 MIN,420,146.0,146.0,Sutter Tracy Community Memorial Hospital,2019
49,17000117,HCHG PT CONTRAST BATHS EA 15 MIN,420,97.0,97.0,Sutter Tracy Community Memorial Hospital,2019
50,17000118,HCHG PT ULTRASOUND EA 15 MIN,420,125.0,125.0,Sutter Tracy Community Memorial Hospital,2019
51,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,211.0,176.0,Sutter Tracy Community Memorial Hospital,2019
52,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,218.0,218.0,Sutter Tracy Community Memorial Hospital,2019
53,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,189.0,189.0,Sutter Tracy Community Memorial Hospital,2019
54,17000123,HCHG PT THERAPEUTIC MASSAGE EA 15 MIN,420,151.0,151.0,Sutter Tracy Community Memorial Hospital,2019
55,17000124,HCHG PT MANUAL THERAPY EA 15 MIN,420,191.0,162.0,Sutter Tracy Community Memorial Hospital,2019
56,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,204.0,204.0,Sutter Tracy Community Memorial Hospital,2019
57,17000129,HCHG PT ADL TRAINING EA 15 MIN,420,197.0,197.0,Sutter Tracy Community Memorial Hospital,2019
58,17000131,HCHG PT WHEELCHAIR TRAINING EA 15 MIN,420,161.0,161.0,Sutter Tracy Community Memorial Hospital,2019
59,17000133,HCHG PT WORK CONDITIONING ADD 60 MIN,420,576.0,576.0,Sutter Tracy Community Memorial Hospital,2019
60,17000139,HCHG PT PHYSICAL PERFORMANCE TEST EA 15 MIN,420,198.0,198.0,Sutter Tracy Community Memorial Hospital,2019
61,17000141,HCHG PT ORTHOTIC TRAINING INITIAL EA 15 MIN,420,158.0,158.0,Sutter Tracy Community Memorial Hospital,2019
62,17000142,HCHG PT PROSTHETIC TRAINING INITIAL EA 15 MIN,420,231.0,231.0,Sutter Tracy Community Memorial Hospital,2019
63,17000292,HCHG PT MCAL SINGLE MODAL INIT 30,420,369.0,369.0,Sutter Tracy Community Memorial Hospital,2019
64,17000317,HCHG PT STRAP ELBOW/WRIST,420,314.0,314.0,Sutter Tracy Community Memorial Hospital,2019
65,17000318,HCHG PT WORK COND INIT 120,420,1152.0,1152.0,Sutter Tracy Community Memorial Hospital,2019
66,17000536,HCHG PT CANALITH REPOSITIONING,420,186.0,186.0,Sutter Tracy Community Memorial Hospital,2019
67,17000568,HCHG PT EVAL LOW COMPLEXITY,424,317.0,317.0,Sutter Tracy Community Memorial Hospital,2019
68,17000571,HCHG PT RE-EVAL ESTABLISHED PLAN CARE,424,235.0,235.0,Sutter Tracy Community Memorial Hospital,2019
69,17000572,HCHG OT EVAL LOW COMPLEXITY,434,350.0,350.0,Sutter Tracy Community Memorial Hospital,2019
70,17000575,HCHG OT RE-EVAL ESTABLISHED PLAN CARE,434,276.0,276.0,Sutter Tracy Community Memorial Hospital,2019
71,17000582,HCHG PT ORTHC/PROSTC MGMT SBSQ ENC,420,160.0,160.0,Sutter Tracy Community Memorial Hospital,2019
