,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000008,***HYDROMORPHONE 10MG/ML SOLN,636,218.6,Sutter Tracy Community Memorial Hospital,2019
1,81000008,17-HYDROXYPROGESTERONE 250MG/ML OIL 1 ML VIAL,250,3412.76,Sutter Tracy Community Memorial Hospital,2019
2,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Sutter Tracy Community Memorial Hospital,2019
3,81000000,ACARBOSE 50MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
4,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Sutter Tracy Community Memorial Hospital,2019
5,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Sutter Tracy Community Memorial Hospital,2019
6,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML,250,40.0,Sutter Tracy Community Memorial Hospital,2019
7,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Sutter Tracy Community Memorial Hospital,2019
8,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Sutter Tracy Community Memorial Hospital,2019
9,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Sutter Tracy Community Memorial Hospital,2019
10,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Sutter Tracy Community Memorial Hospital,2019
11,81000008,ACETAZOLAMIDE 500MG SOLR 1 EACH VIAL,250,174.3,Sutter Tracy Community Memorial Hospital,2019
12,81000000,ACETONE (URINE) TEST STRP,250,2.0,Sutter Tracy Community Memorial Hospital,2019
13,81000000,ACETYLCYSTEINE 20% 4 ML VIAL,250,55.0,Sutter Tracy Community Memorial Hospital,2019
14,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Sutter Tracy Community Memorial Hospital,2019
15,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,1384.6,Sutter Tracy Community Memorial Hospital,2019
16,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Sutter Tracy Community Memorial Hospital,2019
17,81000000,ACYCLOVIR 400MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
18,81000000,ACYCLOVIR 5% OINT 15 G TUBE,250,1200.0,Sutter Tracy Community Memorial Hospital,2019
19,81000008,ACYCLOVIR 50MG/ML SOLN 10 ML VIAL,250,157.92,Sutter Tracy Community Memorial Hospital,2019
20,81000000,ACYCLOVIR 800MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
21,81000008,ADENOSINE 6MG/2ML SOLN,636,75.0,Sutter Tracy Community Memorial Hospital,2019
22,81000008,ALBUMIN HUMAN 25% SOLN,250,600.0,Sutter Tracy Community Memorial Hospital,2019
23,81000008,ALBUMIN HUMAN 5% SOLN,250,864.0,Sutter Tracy Community Memorial Hospital,2019
24,81000000,ALBUTEROL 0.083% NEBU,250,15.0,Sutter Tracy Community Memorial Hospital,2019
25,81000000,ALBUTEROL 0.5% NEBU,250,15.0,Sutter Tracy Community Memorial Hospital,2019
26,81000000,ALBUTEROL 0.5% NEBU 1 EACH PLAS CONT,250,15.0,Sutter Tracy Community Memorial Hospital,2019
27,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,250,132.36,Sutter Tracy Community Memorial Hospital,2019
28,81000000,ALBUTEROL IN 0.9% NACL NEBU,250,19.8,Sutter Tracy Community Memorial Hospital,2019
29,81000000,ALENDRONATE 35MG TABS,250,122.93,Sutter Tracy Community Memorial Hospital,2019
30,81000000,ALFENTANIL 1000MCG/2ML SOLN,250,90.0,Sutter Tracy Community Memorial Hospital,2019
31,81000000,ALLOPURINOL 100MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
32,81000000,ALPRAZOLAM 0.25MG TABS,250,40.0,Sutter Tracy Community Memorial Hospital,2019
33,81000000,ALPRAZOLAM 0.5MG TABS,250,40.0,Sutter Tracy Community Memorial Hospital,2019
34,81000008,ALTEPLASE 100MG,636,14000.0,Sutter Tracy Community Memorial Hospital,2019
35,81000008,ALTEPLASE 100MG SOLR,636,3801.76,Sutter Tracy Community Memorial Hospital,2019
36,81000008,ALTEPLASE 2MG SOLR,250,975.0,Sutter Tracy Community Memorial Hospital,2019
37,81000000,AMANTADINE 100MG CAPS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
38,81000091,"AMINO ACIDS 5%/DEXTROSE 20% (CLINIMIX) SOLN 2,000 ML FLEX CONT",258,120.4,Sutter Tracy Community Memorial Hospital,2019
39,81000008,AMINOPHYLLINE 25MG/ML SOLN,250,75.0,Sutter Tracy Community Memorial Hospital,2019
40,81000008,AMIODARONE 1.5MG/ML,250,270.4,Sutter Tracy Community Memorial Hospital,2019
41,81000008,AMIODARONE 150MG/100ML SOLN,250,270.4,Sutter Tracy Community Memorial Hospital,2019
42,81000008,AMIODARONE 150MG/3ML SOLN,250,75.0,Sutter Tracy Community Memorial Hospital,2019
43,81000000,AMIODARONE 200MG TABS,250,18.59,Sutter Tracy Community Memorial Hospital,2019
44,81000008,AMIODARONE 360MG/200ML SOLN,250,360.1,Sutter Tracy Community Memorial Hospital,2019
45,81000008,AMIODARONE 50 MG/ML SOLN,250,75.0,Sutter Tracy Community Memorial Hospital,2019
46,81000000,AMITRIPTYLINE 10MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
47,81000000,AMITRIPTYLINE 25MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
48,81000000,AMLODIPINE 10MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
49,81000000,AMLODIPINE 2.5MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
50,81000000,AMLODIPINE 5MG TABS,250,38.26,Sutter Tracy Community Memorial Hospital,2019
51,81000000,AMMONIA INHA 10 EACH PACKAGE,250,2.0,Sutter Tracy Community Memorial Hospital,2019
52,81000000,AMOXICILLIN 250MG CAPS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
53,81000000,AMOXICILLIN 250MG/5ML SUSR,250,15.0,Sutter Tracy Community Memorial Hospital,2019
54,81000000,AMOXICILLIN 250MG/5ML SUSR 100 ML BOTTLE,250,15.0,Sutter Tracy Community Memorial Hospital,2019
55,81000000,AMOXICILLIN 400MG/5ML SUSR,250,15.0,Sutter Tracy Community Memorial Hospital,2019
56,81000000,AMOXICILLIN/CLAVULANATE 250MG-62.5MG/5ML SUSR,250,47.46,Sutter Tracy Community Memorial Hospital,2019
57,81000000,AMOXICILLIN/CLAVULANATE 400MG-57MG/5ML SUSR,250,53.68,Sutter Tracy Community Memorial Hospital,2019
58,81000000,AMOXICILLIN/CLAVULANATE 500MG/125MG TABS,250,20.82,Sutter Tracy Community Memorial Hospital,2019
59,81000000,AMOXICILLIN/CLAVULANATE 875MG/125MG TABS,250,27.79,Sutter Tracy Community Memorial Hospital,2019
60,81000008,"AMPICILLIN 1,000MG SOLR",250,75.0,Sutter Tracy Community Memorial Hospital,2019
61,81000008,"AMPICILLIN 1,000MG/50ML SOLN",250,75.0,Sutter Tracy Community Memorial Hospital,2019
62,81000008,"AMPICILLIN 2,000MG SOLR",250,75.0,Sutter Tracy Community Memorial Hospital,2019
63,81000008,"AMPICILLIN 2,000MG/100ML",250,75.0,Sutter Tracy Community Memorial Hospital,2019
64,81000000,AMPICILLIN 500MG CAPS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
65,81000008,AMPICILLIN 500MG SOLR 1 EACH VIAL,250,81.42,Sutter Tracy Community Memorial Hospital,2019
66,81000008,AMPICILLIN/SULBACTAM 1.5G/50ML SOLN,250,75.0,Sutter Tracy Community Memorial Hospital,2019
67,81000008,AMPICILLIN/SULBACTAM 3G/100ML SOLN,250,120.5,Sutter Tracy Community Memorial Hospital,2019
68,81000000,APIXABAN 2.5MG TABS,250,48.86,Sutter Tracy Community Memorial Hospital,2019
69,81000000,APIXABAN 5MG TABS,250,48.86,Sutter Tracy Community Memorial Hospital,2019
70,81000000,AQUAPHOR OINT 454 G JAR,250,2.0,Sutter Tracy Community Memorial Hospital,2019
71,81000000,ARIPIPRAZOLE 10MG TABS,250,100.0,Sutter Tracy Community Memorial Hospital,2019
72,81000000,ARIPIPRAZOLE 2MG TABS,250,100.0,Sutter Tracy Community Memorial Hospital,2019
73,81000000,ARTIFICIAL TEARS 0.1%-0.3% SOLN 15 ML BOTTLE,250,2.0,Sutter Tracy Community Memorial Hospital,2019
74,81000000,ARTIFICIAL TEARS OINT 3.5 G TUBE,250,2.0,Sutter Tracy Community Memorial Hospital,2019
75,81000000,ASCORBIC ACID 250MG TABS,250,2.0,Sutter Tracy Community Memorial Hospital,2019
76,81000000,ASPIRIN/DIPYRIDAMOLE 12HR-ER 25MG/200MG CP12,250,45.95,Sutter Tracy Community Memorial Hospital,2019
77,81000000,ATENOLOL 25MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
78,81000000,ATENOLOL 50MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
79,81000000,ATORVASTATIN 10MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
80,81000000,ATORVASTATIN 20MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
81,81000008,ATROPINE 0.4MG/ML SOLN,636,75.0,Sutter Tracy Community Memorial Hospital,2019
82,81000000,ATROPINE 1% SOLN 2 ML BOTTLE,250,153.75,Sutter Tracy Community Memorial Hospital,2019
83,81000008,ATROPINE 1MG/10ML SOSY,636,75.0,Sutter Tracy Community Memorial Hospital,2019
84,81000008,ATROPINE 1MG/ML SOLN,636,96.25,Sutter Tracy Community Memorial Hospital,2019
85,81000008,AZATHIOPRINE 50MG TABS,250,15.0,Sutter Tracy Community Memorial Hospital,2019
86,81000000,AZILSARTAN MEDOXOMIL 80MGG TABS,250,21.11,Sutter Tracy Community Memorial Hospital,2019
87,81000000,AZITHROMYCIN 1G PACK,250,100.0,Sutter Tracy Community Memorial Hospital,2019
