,CDM,Description,Price,TYPE,NOTE,Hospital,Year
0,34800227,STAT CHARGE ONLY - PER VISIT,,2,STATISTICAL CHARGE,Temecula Valley Hospital,2019
1,38000501,COMPONENT FEM CR LT 4N,6435.0,0,,Temecula Valley Hospital,2019
2,38000543,INSERT 1-2 9MM PS HI FLX GEN2,10886.0,0,,Temecula Valley Hospital,2019
3,38000568,COMPONENT FEM LT 9 BCS,8421.0,0,,Temecula Valley Hospital,2019
4,38000816,DEVICE ZIP 4 SURG SKIN CLOSURE,140.0,0,,Temecula Valley Hospital,2019
5,38000824,SHEATH URETER NAV HD 11/13FX36,396.0,0,,Temecula Valley Hospital,2019
6,38000832,SHEATH URETER NAV HD 11/13FX46,434.0,0,,Temecula Valley Hospital,2019
7,38000840,MATRIX CELL BONE 15CC VIVIGEN,18001.0,0,,Temecula Valley Hospital,2019
8,38000899,ELECTRODE EMBLEM S-ICD 3401,15791.0,0,,Temecula Valley Hospital,2019
9,38001038,PLATE ANKLE FUSION LATERAL TT,8480.0,0,,Temecula Valley Hospital,2019
10,38001327,HEAD FEM CER 32MM SM -4MM,2002.0,0,,Temecula Valley Hospital,2019
11,38001368,CATH GUIDE 035X5FX6X20X40,1416.0,0,,Temecula Valley Hospital,2019
12,38001509,SCREW VARI S TAP 3.5X12MM,434.0,0,,Temecula Valley Hospital,2019
13,38001574,SCREW OSTEOPENIC 4X40MM,80.0,0,,Temecula Valley Hospital,2019
14,38001822,NAIL 130D CANN TFNA 11X235MM,7575.0,0,,Temecula Valley Hospital,2019
15,38002119,IMPLANT BREAST SRX 750CC,3230.0,0,,Temecula Valley Hospital,2019
16,38002127,IMPLANT BREAST SRX 800CC,3230.0,0,,Temecula Valley Hospital,2019
17,38002135,IMPLANT BREAST SRX 770CC,3230.0,0,,Temecula Valley Hospital,2019
18,38002218,CAGE 11X25MM BATTALION PS,6936.0,0,,Temecula Valley Hospital,2019
19,38002226,CAGE 10.25MM BATTALION PS,6972.0,0,,Temecula Valley Hospital,2019
20,38002234,SHELL ACET G7 PPS LTD 60 G,2984.0,0,,Temecula Valley Hospital,2019
21,38002317,BANDAGE PREVENA KIT 13CM,1738.0,0,,Temecula Valley Hospital,2019
22,38002382,INSERT EVOL MP CS 6 LT CS 17MM,3323.0,0,,Temecula Valley Hospital,2019
23,38002556,CATH ZELANTE OTW 035X8FX105,8856.0,0,,Temecula Valley Hospital,2019
24,38002994,SCREW SPINE T THD 5.5MM SET TI,383.0,0,,Temecula Valley Hospital,2019
25,38003554,CAGE PS 12X25MM BATTALION,3468.0,0,,Temecula Valley Hospital,2019
26,38003562,CAGE PS 13X25MM BATTALION,9144.0,0,,Temecula Valley Hospital,2019
27,38003604,NAIL 130D 12X340MM RT CANN,8332.0,0,,Temecula Valley Hospital,2019
28,38003612,NAIL 130D 10X420MM LT CANN,5833.0,0,,Temecula Valley Hospital,2019
29,38004297,SHEATH NAV HD 12/14FR 36CM,335.0,0,,Temecula Valley Hospital,2019
30,38004305,SHEATH NAV HD 12/14FR 46CM,335.0,0,,Temecula Valley Hospital,2019
31,38004313,SHEATH NAV HD 13/15FR 36CM,396.0,0,,Temecula Valley Hospital,2019
32,38004321,SHEATH NAV HD 12/14FR  28CM,396.0,0,,Temecula Valley Hospital,2019
33,38004446,NAIL 130D 10X400MM RT CANN,5833.0,0,,Temecula Valley Hospital,2019
