,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,TWI,20100020,SEMI-PRIVATE,6123.0,Twin Cities Community Hospital,2019
1,TWI,20100228,ICU GEN,13922.0,Twin Cities Community Hospital,2019
2,TWI,20100624,ICU INTERMED,8408.0,Twin Cities Community Hospital,2019
3,TWI,21200027,SEMI-PRIVATE,6123.0,Twin Cities Community Hospital,2019
4,TWI,21200225,ICU GEN,13922.0,Twin Cities Community Hospital,2019
5,TWI,21200621,ICU INTERMED,8408.0,Twin Cities Community Hospital,2019
6,TWI,21500020,SEMI-PRIVATE,6123.0,Twin Cities Community Hospital,2019
7,TWI,21500228,ICU GEN,13922.0,Twin Cities Community Hospital,2019
8,TWI,21500624,ICU INTERMED,8408.0,Twin Cities Community Hospital,2019
9,TWI,23000011,PRIVATE,6178.0,Twin Cities Community Hospital,2019
10,TWI,23000029,SEMI-PRIVATE,6123.0,Twin Cities Community Hospital,2019
11,TWI,23000490,SEMI-PRIV PEDS,6103.0,Twin Cities Community Hospital,2019
12,TWI,23000615,ISOLATN STERILE,6423.0,Twin Cities Community Hospital,2019
13,TWI,23000623,ICU INTERMED,8408.0,Twin Cities Community Hospital,2019
14,TWI,23100027,SEMI-PRIVATE,6123.0,Twin Cities Community Hospital,2019
15,TWI,25000027,SEMI-PRIVATE,6123.0,Twin Cities Community Hospital,2019
16,TWI,25000431,PRIV O B,6178.0,Twin Cities Community Hospital,2019
17,TWI,25000449,SEMI-PRIV O B,6103.0,Twin Cities Community Hospital,2019
18,TWI,25500109,NEWBORN LVL I,3853.0,Twin Cities Community Hospital,2019
19,TWI,25500117,NEWBORN OTHER,4447.0,Twin Cities Community Hospital,2019
20,TWI,25500497,SEMI-PRIV PEDS,6103.0,Twin Cities Community Hospital,2019
21,TWI,31000086,FLU VACC ADMIN ,115.46,Twin Cities Community Hospital,2019
22,TWI,31000284,PNEUM VACC ADM ,122.39,Twin Cities Community Hospital,2019
23,TWI,31001761,NON-STRESS TEST,1265.05,Twin Cities Community Hospital,2019
24,TWI,31004716,ADM SNGL VACC,133.65,Twin Cities Community Hospital,2019
25,TWI,31004724,ADM EA ADD VACC,114.28,Twin Cities Community Hospital,2019
26,TWI,31005002,US OB LTD 1OR>,1368.03,Twin Cities Community Hospital,2019
27,TWI,31007602,IV HYD INT>31M,763.62,Twin Cities Community Hospital,2019
28,TWI,31007610,IV HYD ADD HR,375.61,Twin Cities Community Hospital,2019
29,TWI,31007651,IV TX INIT 1 HR,778.3,Twin Cities Community Hospital,2019
30,TWI,31007669,IV INF TX ADD H,375.61,Twin Cities Community Hospital,2019
31,TWI,31007677,IV SEQUENTL 1HR,396.36,Twin Cities Community Hospital,2019
32,TWI,31007685,IV CONCURRENT,397.34,Twin Cities Community Hospital,2019
33,TWI,31007743,INJ T/P/D IVP,324.18,Twin Cities Community Hospital,2019
34,TWI,31007750,INJ ADD SEQ IVP,200.78,Twin Cities Community Hospital,2019
35,TWI,31007768,SEQ IVP SAME DR,196.29,Twin Cities Community Hospital,2019
36,TWI,31007826,INJ T/P/D SQ/IM,105.6,Twin Cities Community Hospital,2019
37,TWI,31012008,L&D TRIAGE NEW,823.61,Twin Cities Community Hospital,2019
38,TWI,31012016,L&D TRIAGE EST,844.1,Twin Cities Community Hospital,2019
39,TWI,31012024,SPEC PROC INT30,577.98,Twin Cities Community Hospital,2019
40,TWI,31012032,SPEC PROC ADD15,289.64,Twin Cities Community Hospital,2019
41,TWI,31012040,LBR SMPL 1ST HR,592.04,Twin Cities Community Hospital,2019
42,TWI,31012057,LBR SMPL ADD HR,499.47,Twin Cities Community Hospital,2019
43,TWI,31012065,LBR INT 1ST HR,760.0,Twin Cities Community Hospital,2019
44,TWI,31012073,LBR INT ADD HR,644.28,Twin Cities Community Hospital,2019
45,TWI,31012081,LBR CPX 1ST HR,1192.69,Twin Cities Community Hospital,2019
46,TWI,31012099,LBR CPX ADD HR,897.84,Twin Cities Community Hospital,2019
47,TWI,31012107,DELV SIMPLE,3556.79,Twin Cities Community Hospital,2019
48,TWI,31012123,DELV COMPLEX,5269.33,Twin Cities Community Hospital,2019
49,TWI,31012222,RECOVERY INT 30,562.46,Twin Cities Community Hospital,2019
50,TWI,31012230,RECOVERY ADD 15,362.5,Twin Cities Community Hospital,2019
51,TWI,31101504,CIRCUMCISION,935.22,Twin Cities Community Hospital,2019
52,TWI,31101645,RESUSTN NEWBRN,1150.25,Twin Cities Community Hospital,2019
53,TWI,31102759,SURG PROC INT30,2675.64,Twin Cities Community Hospital,2019
54,TWI,31104714,HEP B VACC ADM ,154.67,Twin Cities Community Hospital,2019
55,TWI,31125875,AUD EVK PTL COM,1134.6,Twin Cities Community Hospital,2019
56,TWI,31147804,CAR/BED TEST 60,193.7,Twin Cities Community Hospital,2019
57,TWI,31147812,CAR/BEDTEST 30,96.85,Twin Cities Community Hospital,2019
58,TWI,31192586,EVOKD AUDT COMP,398.29,Twin Cities Community Hospital,2019
59,TWI,31203250,E&M-EP LVL I,94.89,Twin Cities Community Hospital,2019
60,TWI,31203300,E&M-EP LVL II,152.71,Twin Cities Community Hospital,2019
61,TWI,31203359,E&M-EP LVL IV,390.46,Twin Cities Community Hospital,2019
62,TWI,31203367,E&M-EP LVL V,515.63,Twin Cities Community Hospital,2019
63,TWI,31203409,E&M-EP LVL III,273.29,Twin Cities Community Hospital,2019
64,TWI,31292022,E&M-NP LVL II,161.87,Twin Cities Community Hospital,2019
65,TWI,31292030,E&M-NP LVL III,273.29,Twin Cities Community Hospital,2019
66,TWI,31292048,E&M-NP LVL IV,390.46,Twin Cities Community Hospital,2019
67,TWI,31292055,E&M-NP LVL V,515.63,Twin Cities Community Hospital,2019
68,TWI,32135501,SURG LVI INT30,5262.89,Twin Cities Community Hospital,2019
69,TWI,32135519,SURG LVI EA 15,2179.08,Twin Cities Community Hospital,2019
70,TWI,32135527,SURG LVII INT30,5563.18,Twin Cities Community Hospital,2019
