,Charge Code,Description,Inpatient Price,Outpatient Price,Hospital,Year
0,2322830,ATOMOXETINE 25 MG CAPSULE 25 MG,38.54,38.54,Unversity of California Davis Medical Center,2019
1,2322930,ATOMOXETINE 40 MG CAPSULE 40 MG,41.85,41.85,Unversity of California Davis Medical Center,2019
2,2323560,"DULOXETINE 20 MG CAPSULE,DELAYED RELEASE 20 MG",31.45,31.45,Unversity of California Davis Medical Center,2019
3,2324030,"DULOXETINE 30 MG CAPSULE,DELAYED RELEASE 30 MG",35.28,35.28,Unversity of California Davis Medical Center,2019
4,2411630,OLANZAPINE 7.5 MG TABLET 30 EACH,311.64,311.64,Unversity of California Davis Medical Center,2019
5,2416502,RALOXIFENE 60 MG TABLET 60 MG,29.6,29.6,Unversity of California Davis Medical Center,2019
6,2445485,OLANZAPINE 10 MG DISINTEGRATING TABLET 10 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
7,2512377,PRASUGREL 10 MG TABLET 10 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
8,2714001,ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION 5 ML,3871.47,3871.47,Unversity of California Davis Medical Center,2019
9,2751001,INSULIN LISPRO 100 UNIT/ML SUBQ PUMP 10 ML,1448.03,1448.03,Unversity of California Davis Medical Center,2019
10,2759701,OLANZAPINE 10 MG INTRAMUSCULAR SOLUTION 2.5 MG,191.7,191.7,Unversity of California Davis Medical Center,2019
11,2762301,PEMETREXED 500 MG INTRAVENOUS SOLUTION 1 EACH,19928.51,19928.51,Unversity of California Davis Medical Center,2019
12,2821517,INSULIN U-100 REGULAR HUMAN 100 UNIT/ML INJECTION,1011.27,1011.27,Unversity of California Davis Medical Center,2019
13,2831517,INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCU,1011.1,1011.1,Unversity of California Davis Medical Center,2019
14,2850101,INSULIN REGULAR 500 UNITS/ML SUBQ PUMP 20 ML,1682.21,1682.21,Unversity of California Davis Medical Center,2019
15,2882427,"INSULIN REGULAR HUMAN U-500 ""CONCENTRATE"" 500 UNIT",2515.0,2515.0,Unversity of California Davis Medical Center,2019
16,2892601,OLARATUMAB 10 MG/ML INTRAVENOUS SOLUTION 50 ML,15944.16,15944.16,Unversity of California Davis Medical Center,2019
17,3029305,TRIAMCINOLONE ACETONIDE 40 MG/ML SUSPENSION FOR IN,288.72,288.72,Unversity of California Davis Medical Center,2019
18,3037113,BELATACEPT 250 MG INTRAVENOUS SOLUTION 1 EACH,6235.79,6235.79,Unversity of California Davis Medical Center,2019
19,3049420,TRIAMCINOLONE ACETONIDE 10 MG/ML SUSPENSION FOR IN,289.56,289.56,Unversity of California Davis Medical Center,2019
20,3052411,DASATINIB 70 MG TABLET 70 MG,87.601,87.601,Unversity of California Davis Medical Center,2019
21,3052811,DASATINIB 50 MG TABLET 50 MG,87.601,87.601,Unversity of California Davis Medical Center,2019
22,3089331,APIXABAN 2.5 MG TABLET 2.5 MG,42.01,42.01,Unversity of California Davis Medical Center,2019
23,3089431,APIXABAN 5 MG TABLET 5 MG,42.01,42.01,Unversity of California Davis Medical Center,2019
24,3161112,ENTECAVIR 0.5 MG TABLET 0.5 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
25,3161412,ENTECAVIR 0.05 MG/ML ORAL SOLUTION 0.5 MG,750.78,750.78,Unversity of California Davis Medical Center,2019
26,3196701,STAVUDINE 40 MG CAPSULE 40 MG,59.76,59.76,Unversity of California Davis Medical Center,2019
27,3232711,IPILIMUMAB 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUT,41144.04,41144.04,Unversity of California Davis Medical Center,2019
28,3362212,ATAZANAVIR 300 MG CAPSULE 30 EACH,965.79,965.79,Unversity of California Davis Medical Center,2019
29,3362412,ATAZANAVIR 150 MG CAPSULE 150 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
30,3363112,ATAZANAVIR 200 MG CAPSULE 200 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
31,3364111,ATAZANAVIR 300 MG-COBICISTAT 150 MG TABLET 1 TABLE,68.13,68.13,Unversity of California Davis Medical Center,2019
32,3377211,NIVOLUMAB 40 MG/4 ML INTRAVENOUS SOLUTION 4 ML,6480.36,6480.36,Unversity of California Davis Medical Center,2019
33,3633517,HYDROXYUREA (SICKLE CELL) 200 MG CAPSULE 200 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
34,3633617,HYDROXYUREA (SICKLE CELL) 300 MG CAPSULE 300 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
35,4003822,VALGANCICLOVIR 450 MG TABLET 450 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
36,4003909,VALGANCICLOVIR 50 MG/ML ORAL SOLUTION 88 ML,568.832,568.832,Unversity of California Davis Medical Center,2019
37,4026129,MYCOPHENOLATE MOFETIL 200 MG/ML ORAL SUSPENSION 16,2816.8,2816.8,Unversity of California Davis Medical Center,2019
38,4029809,MYCOPHENOLATE 500 MG INTRAVENOUS SOLUTION 1 EACH,728.53,728.53,Unversity of California Davis Medical Center,2019
39,4035009,PEGINTERFERON ALFA-2A 180 MCG/ML SUBCUTANEOUS SOLU,1813.32,1813.32,Unversity of California Davis Medical Center,2019
40,4080085,OSELTAMIVIR 75 MG CAPSULE 10 EACH,92.53,92.53,Unversity of California Davis Medical Center,2019
41,4110150,CAPECITABINE 500 MG TABLET 120 EACH,2314.8,2314.8,Unversity of California Davis Medical Center,2019
42,4694004,GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION 1 E,1651.6,1651.6,Unversity of California Davis Medical Center,2019
43,5197101,PNEUMOCOCCAL 13-VAL CONJ VACCINE-DIP CRM (PF) 0.5,252.28,252.28,Unversity of California Davis Medical Center,2019
44,6003220,IVERMECTIN 3 MG TABLET 3 MG,45.64,45.64,Unversity of California Davis Medical Center,2019
45,6007258,FINASTERIDE 5 MG TABLET 5 MG,29.18,29.18,Unversity of California Davis Medical Center,2019
46,6011228,SITAGLIPTIN 50 MG TABLET 50 MG,68.12,68.12,Unversity of California Davis Medical Center,2019
47,6022128,SITAGLIPTIN 25 MG TABLET 25 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
48,6022761,RALTEGRAVIR 400 MG TABLET 400 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
49,6046106,APREPITANT 80 MG CAPSULE 80 MG,106.373,106.373,Unversity of California Davis Medical Center,2019
50,6046206,APREPITANT 125 MG CAPSULE 125 MG,190.87,190.87,Unversity of California Davis Medical Center,2019
51,6046405,APREPITANT 40 MG CAPSULE 40 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
52,6047761,RALTEGRAVIR 100 MG CHEWABLE TABLET 150 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
53,6095254,LOSARTAN 50 MG TABLET 50 MG,17.3,17.3,Unversity of California Davis Medical Center,2019
54,6096054,LOSARTAN 100 MG TABLET 90 EACH,252.81,252.81,Unversity of California Davis Medical Center,2019
55,6302500,BEZLOTOXUMAB 25 MG/ML INTRAVENOUS SOLUTION 40 ML,25672.8,25672.8,Unversity of California Davis Medical Center,2019
56,6302602,PEMBROLIZUMAB 25 MG/ML INTRAVENOUS SOLUTION 4 ML,29158.9,29158.9,Unversity of California Davis Medical Center,2019
57,6307501,LETERMOVIR 240 MG TABLET 240 MG,234.0,234.0,Unversity of California Davis Medical Center,2019
58,6307601,LETERMOVIR 480 MG TABLET 480 MG,468.0,468.0,Unversity of California Davis Medical Center,2019
59,6351659,IMIPENEM-CILASTATIN 500 MG INTRAVENOUS SOLUTION 50,640.37,640.37,Unversity of California Davis Medical Center,2019
60,6384371,ERTAPENEM 1 GRAM VIAL FOR IM 1 G,1398.45,1398.45,Unversity of California Davis Medical Center,2019
61,6394132,FOSAPREPITANT 150 MG INTRAVENOUS SOLUTION 1 EACH,2279.94,2279.94,Unversity of California Davis Medical Center,2019
62,6468101,"MEASLES,MUMPS,RUBELLA VACCINE LIVE(PF)1,000-12,500",99.56,99.56,Unversity of California Davis Medical Center,2019
63,6482700,"VARICELLA VIRUS VACCINE LIVE (PF) 1,350 UNIT/0.5 M",178.94,178.94,Unversity of California Davis Medical Center,2019
64,6483141,HEPATITIS A VIRUS VACCINE (PF) 25 UNIT/0.5 ML INTR,42.26,42.26,Unversity of California Davis Medical Center,2019
65,6489700,HAEMOPH B POLYSAC CONJ-MENING (PF) 7.5 MCG/0.5 ML,40.34,40.34,Unversity of California Davis Medical Center,2019
66,6494300,PNEUMOCOCCAL 23 POLYVALENT VACCINE 25 MCG/0.5 ML I,123.0,123.0,Unversity of California Davis Medical Center,2019
67,6542312,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION 2 ML,894.33,894.33,Unversity of California Davis Medical Center,2019
68,6542315,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION 5 ML,1524.24,1524.24,Unversity of California Davis Medical Center,2019
69,7413920,CARVEDILOL 3.125 MG TABLET 100 EACH,237.4,237.4,Unversity of California Davis Medical Center,2019
70,7414020,CARVEDILOL 6.25 MG TABLET 6.25 MG,19.92,19.92,Unversity of California Davis Medical Center,2019
71,7414220,CARVEDILOL 25 MG TABLET 25 MG,19.92,19.92,Unversity of California Davis Medical Center,2019
72,7420101,TOPOTECAN 4 MG INTRAVENOUS SOLUTION 1 EACH,6181.35,6181.35,Unversity of California Davis Medical Center,2019
73,7440106,NELARABINE 250 MG/50 ML INTRAVENOUS SOLUTION 50 ML,2986.43,2986.43,Unversity of California Davis Medical Center,2019
74,7489020,ROPINIROLE 0.25 MG TABLET 0.25 MG,21.54,21.54,Unversity of California Davis Medical Center,2019
75,8010001,INOTUZUMAB OZOGAMICIN 0.9 MG(0.25 MG/ML INITIAL CO,44880.0,44880.0,Unversity of California Davis Medical Center,2019
76,8083303,"VENLAFAXINE ER 75 MG CAPSULE,EXTENDED RELEASE 24 H",34.21,34.21,Unversity of California Davis Medical Center,2019
77,8083603,"VENLAFAXINE ER 150 MG CAPSULE,EXTENDED RELEASE 24",37.26,37.26,Unversity of California Davis Medical Center,2019
78,8083703,"VENLAFAXINE ER 37.5 MG CAPSULE,EXTENDED RELEASE 24",30.52,30.52,Unversity of California Davis Medical Center,2019
79,8084381,"PANTOPRAZOLE 20 MG TABLET,DELAYED RELEASE 20 MG",38.14,38.14,Unversity of California Davis Medical Center,2019
80,8092355,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION 40 MG,168.84,168.84,Unversity of California Davis Medical Center,2019
81,8103004,SIROLIMUS 1 MG/ML ORAL SOLUTION 60 ML,3078.37,3078.37,Unversity of California Davis Medical Center,2019
82,8104110,SIROLIMUS 1 MG TABLET .5 MG,38.21,38.21,Unversity of California Davis Medical Center,2019
83,8418804,AMIODARONE 200 MG TABLET 200 MG,37.97,37.97,Unversity of California Davis Medical Center,2019
84,8451001,GEMTUZUMAB OZOGAMICIN 4.5 MG (1 MG/ML INITIAL CONC,55399.2,55399.2,Unversity of California Davis Medical Center,2019
85,9001103,HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLU,136.48,136.48,Unversity of California Davis Medical Center,2019
86,9001201,HYDROCORTISONE 5 MG TABLET 50 EACH,68.13,68.13,Unversity of California Davis Medical Center,2019
87,9003101,HYDROCORTISONE 10 MG TABLET 100 EACH,68.13,68.13,Unversity of California Davis Medical Center,2019
88,9005602,METHYLPREDNISOLONE 4 MG TABLET 4 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
89,9023301,"BACITRACIN 50,000 UNIT INTRAMUSCULAR SOLUTION 5000",371.45,371.45,Unversity of California Davis Medical Center,2019
90,9028301,GELATIN ABSORBABLE IMPLANT FILM 1 EACH,6910.38,6910.38,Unversity of California Davis Medical Center,2019
91,9028603,MEDROXYPROGESTERONE 5 MG TABLET 100 EACH,133.2,133.2,Unversity of California Davis Medical Center,2019
92,9033102,CLINDAMYCIN HCL 75 MG CAPSULE 100 EACH,181.6,181.6,Unversity of California Davis Medical Center,2019
93,9034702,TESTOSTERONE CYPIONATE 100 MG/ML INTRAMUSCULAR OIL,1136.74,1136.74,Unversity of California Davis Medical Center,2019
94,9041701,TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR OIL,761.19,761.19,Unversity of California Davis Medical Center,2019
95,9045003,COLESTIPOL 1 GRAM TABLET 1 G,16.22,16.22,Unversity of California Davis Medical Center,2019
96,9069801,"METHYLPREDNISOLONE SODIUM SUCCINATE 1,000 MG INTRA",682.11,682.11,Unversity of California Davis Medical Center,2019
97,9074630,MEDROXYPROGESTERONE 150 MG/ML INTRAMUSCULAR SUSPEN,1412.93,1412.93,Unversity of California Davis Medical Center,2019
98,9075801,METHYLPREDNISOLONE SODIUM SUCCINATE 500 MG INTRAVE,360.19,360.19,Unversity of California Davis Medical Center,2019
99,9076004,CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION 100 ML,996.16,996.16,Unversity of California Davis Medical Center,2019
100,9077526,CLINDAMYCIN 150 MG/ML INJECTION SOLUTION 4 ML,285.12,285.12,Unversity of California Davis Medical Center,2019
101,9082501,HYDROCORTISONE 100 MG/2 ML SOLUTION 1 EACH,149.14,149.14,Unversity of California Davis Medical Center,2019
102,9085608,CARBOPROST TROMETHAMINE 250 MCG/ML INTRAMUSCULAR S,1254.57,1254.57,Unversity of California Davis Medical Center,2019
103,9311602,CLINDAMYCIN PHOSPHATE 1 % TOPICAL SOLUTION 60 ML,1014.83,1014.83,Unversity of California Davis Medical Center,2019
104,9344703,CLINDAMYCIN 900 MG/6 ML INTRAVENOUS SOLUTION 6 ML,363.01,363.01,Unversity of California Davis Medical Center,2019
105,9379401,IBUTILIDE FUMARATE 0.1 MG/ML INTRAVENOUS SOLUTION,2842.26,2842.26,Unversity of California Davis Medical Center,2019
106,9513601,LINEZOLID 100 MG/5 ML ORAL SUSPENSION 150 ML,2992.64,2992.64,Unversity of California Davis Medical Center,2019
107,9514001,LINEZOLID IN 5% DEXTROSE IN WATER 600 MG/300 ML IN,1214.85,1214.85,Unversity of California Davis Medical Center,2019
108,9519004,"TOLTERODINE ER 2 MG CAPSULE,EXTENDED RELEASE 24 HR",34.09,34.09,Unversity of California Davis Medical Center,2019
109,9519104,"TOLTERODINE ER 4 MG CAPSULE,EXTENDED RELEASE 24 HR",34.09,34.09,Unversity of California Davis Medical Center,2019
110,9722402,"LYMPHOCYTE,ANTI-THYMO IMMUNE GLOBULIN 50 MG/ML INT",3371.36,3371.36,Unversity of California Davis Medical Center,2019
111,9766304,EXEMESTANE 25 MG TABLET 25 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
112,13258691,IDARUBICIN 1 MG/ML INTRAVENOUS SOLUTION 10 ML,2276.98,2276.98,Unversity of California Davis Medical Center,2019
113,13530117,RIFABUTIN 150 MG CAPSULE 150 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
114,15301260,CARMUSTINE 100 MG INTRAVENOUS SOLUTION 1 EACH,1564.1,1564.1,Unversity of California Davis Medical Center,2019
115,15308060,MITOTANE 500 MG TABLET 500 MG,39.17,39.17,Unversity of California Davis Medical Center,2019
116,19481604,DIATRIZOATE MEGLUMINE & SODIUM 66 %-10 % ORAL SOLN,557.17,557.17,Unversity of California Davis Medical Center,2019
117,23114501,ONABOTULINUMTOXINA 100 UNIT SOLUTION FOR INJECTION,3546.9,3546.9,Unversity of California Davis Medical Center,2019
118,23361525,GATIFLOXACIN 0.5 % EYE DROPS 2.5 ML,1366.6,1366.6,Unversity of California Davis Medical Center,2019
119,23455430,CARBOXYMETHYLCELLULOSE SODIUM 1 % EYE GEL IN A DRO,1.0,1.0,Unversity of California Davis Medical Center,2019
120,23585318,MESALAMINE 400 MG CAPSULE (WITH DELAYED RELEASE TA,29.89,29.89,Unversity of California Davis Medical Center,2019
121,23585801,LEVONORGESTREL 19.5 MCG/24 HRS (5 YRS) 52 MG INTRA,4222.5,4222.5,Unversity of California Davis Medical Center,2019
122,23611001,"LIPASE-PROTEASE-AMYLASE 10,000-32,000-42,000 UNIT",30.8,30.8,Unversity of California Davis Medical Center,2019
123,23611101,"LIPASE-PROTEASE-AMYLASE 15,000-47,000-63,000 UNIT",44.49,44.49,Unversity of California Davis Medical Center,2019
124,23782410,"POLYMYXIN B SULFATE 10,000 UNIT-TRIMETHOPRIM 1 MG/",972.24,972.24,Unversity of California Davis Medical Center,2019
125,23916330,CYCLOSPORINE 0.05 % EYE DROPS IN A DROPPERETTE 1 D,25.35,25.35,Unversity of California Davis Medical Center,2019
126,24039102,"ERGOCALCIFEROL (VITAMIN D2) 8,000 UNIT/ML ORAL DRO",1.0,1.0,Unversity of California Davis Medical Center,2019
127,24134803,PHENYLEPHRINE 0.25 % NASAL SPRAY 15 ML,21.09,21.09,Unversity of California Davis Medical Center,2019
