,Charge Code,Description,Inpatient Price,Outpatient Price,Hospital,Year
0,761001251,HC FNA W/US GUIDANCE 1ST LESION,2767.06,2767.06,Unversity of California Davis Medical Center,2019
1,761001252,HC FNA W/US GUIDANCE EA ADDL LESION,2767.06,2767.06,Unversity of California Davis Medical Center,2019
2,761001253,HC FNA W/FLUORO 1ST LESION,2767.06,2767.06,Unversity of California Davis Medical Center,2019
3,761001256,HC FNA W/CT GUIDANCE 1ST LESION,2767.06,2767.06,Unversity of California Davis Medical Center,2019
4,761000875,HC FINE NEEDLE ASPIRATION,494.7,494.7,Unversity of California Davis Medical Center,2019
5,761000638,HC FNA W/IMAGE,925.75,925.75,Unversity of California Davis Medical Center,2019
6,761000963,HC GUIDE CATHET FLUID DRAINAGE,1538.31,1538.31,Unversity of California Davis Medical Center,2019
7,761001115,HC PERQ DEV SOFT TISS 1ST IMAG,2521.61,2521.61,Unversity of California Davis Medical Center,2019
8,761000002,HC ACNE SURGERY OF SKIN ABSCESS,284.43,284.43,Unversity of California Davis Medical Center,2019
9,761000782,HC DRAIN SKIN ABSCESS SIMPLE,1156.51,1156.51,Unversity of California Davis Medical Center,2019
10,761000783,HC DRAIN SKIN ABSCESS COMPLIC,1460.84,1460.84,Unversity of California Davis Medical Center,2019
11,761000784,HC DRAIN PILONIDAL CYST SIMPL,836.11,836.11,Unversity of California Davis Medical Center,2019
12,761000785,HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPL,482.52,482.52,Unversity of California Davis Medical Center,2019
13,761000786,HC DRAINAGE OF HEMATOMA/FLUID,5640.86,5640.86,Unversity of California Davis Medical Center,2019
14,761000787,HC PUNCTURE DRAINAGE OF LESION,911.92,911.92,Unversity of California Davis Medical Center,2019
15,761000639,HC I&D POSTOP WOUND INFECT,2379.41,2379.41,Unversity of California Davis Medical Center,2019
16,761000788,"HC DEBRIDE, INFECTED SKIN, UP TO 10% BSA",1007.1,1007.1,Unversity of California Davis Medical Center,2019
17,761000789,"HC DEBRIDE, SKIN, SUB-Q TISSUE,=<20 SQ CM",1462.51,1462.51,Unversity of California Davis Medical Center,2019
18,761000790,"HC DEBRIDE, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM",1885.82,1885.82,Unversity of California Davis Medical Center,2019
19,761000006,"HC DEBRIDE, SKIN, SUB-Q TISSUE,MUSCLE,BONE,=<20 SQ",4317.79,4317.79,Unversity of California Davis Medical Center,2019
20,761000791,"HC DEBRIDE, SKIN, SUB-Q TISSUE,EA ADD 20 SQ CM",671.21,671.21,Unversity of California Davis Medical Center,2019
21,761000793,"HC TRIM HYPERKERATOTIC SKIN LESION, ONE",252.88,252.88,Unversity of California Davis Medical Center,2019
22,761000008,"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,2-4",277.23,277.23,Unversity of California Davis Medical Center,2019
23,761000009,"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,>4",335.89,335.89,Unversity of California Davis Medical Center,2019
