,Charge Code,Description,Inpatient Price,Outpatient Price,Hospital,Year
0,CC#54428100,CANALICULAR GUIBOR 29CM INTUBATION LACRIMAL (85903,1131.0,1131.0,Unversity of California Davis Medical Center,2019
1,EX#S11500U,MINI MONOKA STENT (S1.1500),759.96,759.96,Unversity of California Davis Medical Center,2019
2,CC#54428100,CANALICULAR GUIBOR 29CM INTUBATION LACRIMAL (85903,1131.0,1131.0,Unversity of California Davis Medical Center,2019
3,EX#S11500U,MINI MONOKA STENT (S1.1500),759.96,759.96,Unversity of California Davis Medical Center,2019
4,69613610,G12685 CHAIT TRAPDOOR LONG PEDIATRIC CECOSTOMY TUB,1960.0,1960.0,Unversity of California Davis Medical Center,2019
5,1050002883,SENOMARK 10G BREAST BIOPSY SITE MARKER,925.0,925.0,Unversity of California Davis Medical Center,2019
6,1050002884,SENOMARK 14G BREAST BIOPSY SITE MARKER,800.0,800.0,Unversity of California Davis Medical Center,2019
7,1050002722,KOPANS BREAST LOC WIRE 5CM,305.64,305.64,Unversity of California Davis Medical Center,2019
8,1050002723,KOPANS BREAST LOC WIRE 7CM,305.64,305.64,Unversity of California Davis Medical Center,2019
9,1050002724,KOPANS BREAST LOC WIRE 9CM,305.64,305.64,Unversity of California Davis Medical Center,2019
10,3037A,INTERSTIM ICON PROGRAMMER (3037-A),7140.0,7140.0,Unversity of California Davis Medical Center,2019
11,CC#50026064,SPLINT DOYLE II NASAL SEPTAL (XOMED) (15-24050),577.2,577.2,Unversity of California Davis Medical Center,2019
12,EX#000773058,DERMABOND ADVANCED (DNX12),230.88,230.88,Unversity of California Davis Medical Center,2019
13,72729,ADHESIVE SKIN DERMABOND MINI 0.36ML (DHVM12),139.92,139.92,Unversity of California Davis Medical Center,2019
14,CC#55821830,"PLAIN GUT FAST ABSORB 5-0 PC-1 18"" (1915G)",78.24,78.24,Unversity of California Davis Medical Center,2019
15,CC#50005878,"CHROMIC GUT 5-0 P-3 18"" (687G)",72.36,72.36,Unversity of California Davis Medical Center,2019
16,1916G,"PLAIN GUT FAST ABSORB 6-0 PC-1 18"" (1916G)",71.04,71.04,Unversity of California Davis Medical Center,2019
17,CC#55821647,"CHROMIC GUT 4-0 P-3 18"" (1654G)",70.68,70.68,Unversity of California Davis Medical Center,2019
18,CC#55821607,"CHROMIC GUT 3-0 PS-2 27"" (1638H)",70.2,70.2,Unversity of California Davis Medical Center,2019
19,CC#55821294,"MONOCRYL 5-0 P-3 18"" UNDYED (Y493G)",56.52,56.52,Unversity of California Davis Medical Center,2019
20,CC#55821296,"MONOCRYL 4-0 PS-2 18"" UNDYED (Y496G)",55.92,55.92,Unversity of California Davis Medical Center,2019
21,CC#50034906,"MONOCRYL 6-0 P-1 18"" UNDYED (Y489G)",51.84,51.84,Unversity of California Davis Medical Center,2019
22,CC#55821991,"PDS 5-0 P-3 18"" CLEAR (Z493G)",51.48,51.48,Unversity of California Davis Medical Center,2019
23,CC#55821629,"SUTURE ETHILON 6.0 PC-1 18"" BLACK (1956G)",48.84,48.84,Unversity of California Davis Medical Center,2019
24,CC#55821011,"ETHILON 6-0 PS-3 18"" BLACK (1665G)",43.56,43.56,Unversity of California Davis Medical Center,2019
25,CC#55821881,"ETHILON 7-0 P-6 18"" BLACK (1647G)",43.56,43.56,Unversity of California Davis Medical Center,2019
26,CC#55821890,"ETHILON 7-0 P-1 18"" BLACK (1696G)",43.56,43.56,Unversity of California Davis Medical Center,2019
27,CC#55821604,"VICRYL 4-0 PS-2 18"" UNDYED  (J496H)",42.24,42.24,Unversity of California Davis Medical Center,2019
28,CC#55821754,"VICRYL 4-0 PS-2 18"" UNDYED (J496G)",42.24,42.24,Unversity of California Davis Medical Center,2019
29,CC#55821761,"VICRYL 5-0 P-3 18"" UNDYED (J493G)",42.12,42.12,Unversity of California Davis Medical Center,2019
30,CC#55821447,"ETHILON 5-0 P-3  18"" BLACK (698G)",41.64,41.64,Unversity of California Davis Medical Center,2019
31,CC#50015339,"VICRYL 3-0 PS-2 18"" UNDYED (J497G)",41.52,41.52,Unversity of California Davis Medical Center,2019
32,CC#55821440,"ETHILON 4-0 PS-2 18"" BLACK (1667G)",39.84,39.84,Unversity of California Davis Medical Center,2019
33,CC#55821892,"SILK 5-0 P-3 18"" (640G)",39.72,39.72,Unversity of California Davis Medical Center,2019
